year,Q1,Q2,Q3,Q4
1991,74.29095,74.1684,71.7092,72.12727
1992,76.05418,74.85327,74.10654,76.28067
1993,76.76642,76.55014,73.8885,78.32921
1994,78.59412,80.38323,76.67815,81.46306
1995,81.29021,80.68423,78.76769,83.71629
1996,82.19563,82.97787,80.70663,84.67159
1997,83.75419,85.03507,82.16918,85.70821
1998,85.6843,83.51994,83.14536,87.04926
1999,85.56686,86.04003,84.6152,90.24447
2000,88.02785,88.42182,87.39501,92.95069
2001,88.27465,87.76075,87.91235,92.26742
2002,88.45979,89.05511,87.8807,92.25665
2003,89.89607,89.00463,88.40799,95.10573
2004,92.42384,92.39276,91.84084,97.35135
2005,91.78443,94.8049,92.97997,97.75705
2006,93.75364,96.69183,94.72522,98.27671
2007,92.74928,93.32944,93.49937,98.58609
2008,92.43595,94.23702,91.59767,93.557
2009,89.78922,90.37365,90.14797,94.78934
2010,92.77228,94.89215,94.68874,98.35748
2011,95.36637,97.03428,94.50126,99.09148
2012,96.22577,97.41087,96.20659,99.79874
2013,96.50521,98.91241,97.12466,100.7702
2014,97.48654,98.46633,98.29784,101.9753
2015,98.75304,100.5552,98.6105,102.0813
2016,98.93215,102.6152,100.2764,104.3098
2017,101.1711,103.9788,100.9811,105.3261
2018,101.3473,104.4625,101.6196,106.0835
2019,101.4103,104.3251,101.8637,106.1328
2020,101.4166,100.0328,101.7712,106.6721
2021,102.6455,105.5621,102.2475,108.9808
2022,103.0222,,,
