year,Q1,Q2,Q3,Q4
1995,85.57436,89.45161,86.6175,93.04974
1996,86.95311,90.80215,87.82059,93.32254
1997,86.20116,90.37235,87.98698,94.16785
1998,86.98373,90.54912,87.69833,93.56966
1999,86.91432,90.39363,87.86067,93.42592
2000,87.74426,90.61309,87.93955,93.27813
2001,88.06236,91.10007,88.62251,94.28667
2002,88.31106,91.60166,88.60287,94.43941
2003,88.87409,91.26296,88.25085,93.79496
2004,87.92307,90.95138,88.16025,93.24944
2005,87.53371,90.88548,87.24794,92.66279
2006,87.50756,90.63211,87.25817,92.94835
2007,87.53687,90.84031,87.59467,93.71835
2008,87.61252,91.55011,88.80291,94.66223
2009,89.37418,93.72645,91.75124,97.71751
2010,92.11877,95.79859,93.13878,98.67546
2011,94.25208,97.08,95.19733,99.94946
2012,95.68093,97.94054,96.22906,100.8819
2013,96.27328,99.64639,97.22786,101.5482
2014,97.56587,99.53992,97.35046,101.5571
2015,98.02745,100.5732,98.4258,102.9735
2016,99.22038,101.8641,99.29918,103.1527
2017,99.40379,102.4646,99.44581,103.5659
2018,99.82226,102.7418,99.16443,103.4977
2019,99.54019,101.7508,98.67176,102.4384
2020,95.05269,86.33193,94.93716,97.64832
2021,92.85795,97.30523,94.45354,99.67343
2022,95.01225,,,
