year,Q1,Q2,Q3,Q4
1991,65.03562,66.96378,66.32069,73.10036
1992,67.51791,69.00135,69.25597,75.36266
1993,70.49501,72.48444,72.71438,80.57039
1994,74.59426,76.57677,76.49249,85.23594
1995,76.62853,79.66036,77.91089,85.43124
1996,79.05982,80.26959,78.60359,87.91158
1997,79.7967,80.87295,81.9652,92.22161
1998,82.03578,85.16908,84.49085,94.63551
1999,85.90926,86.94067,86.06736,95.30912
2000,89.02374,90.40017,88.77294,98.81747
2001,90.84112,91.93676,89.94757,98.1294
2002,90.55714,92.70363,89.56316,99.78204
2003,90.95625,93.53285,91.71218,103.0908
2004,94.68948,96.98586,94.88665,105.6393
2005,97.66692,98.34759,96.31002,104.6805
2006,98.61176,101.0012,97.8744,107.9316
2007,101.5769,104.0188,101.0765,110.8805
2008,102.7938,102.468,100.2781,106.2162
2009,93.73284,96.18505,95.43213,103.0907
2010,96.8459,100.5652,97.42461,108.2874
2011,100.7907,100.7523,98.57584,106.8299
2012,99.07285,98.59232,95.95865,104.3005
2013,97.06002,98.33698,96.98524,104.922
2014,97.44152,98.57245,96.92126,104.6262
2015,96.83477,100.2559,97.19975,105.7095
2016,99.8432,101.5456,99.64761,108.3871
2017,101.3737,104.4603,102.2682,109.91
2018,101.9274,103.0864,100.3939,107.0463
2019,99.98073,102.284,100.1409,107.5785
2020,99.86163,99.49981,100.7595,108.4367
2021,98.93408,101.0044,100.0599,107.2902
2022,98.82148,,,
