year,Q1,Q2,Q3,Q4
1991,79.06754,79.73025,77.10899,82.40662
1992,81.29086,81.51526,78.84985,83.79798
1993,81.38445,82.13561,79.26374,83.99179
1994,82.64758,83.78946,80.63696,85.71545
1995,84.59525,84.68964,81.17234,86.00146
1996,85.04871,85.02384,82.42531,86.78622
1997,85.06231,86.70803,83.78696,88.96853
1998,87.66737,88.06426,85.22443,89.81812
1999,88.44431,88.66927,85.86915,91.2634
2000,90.02813,90.09531,86.89741,92.02789
2001,90.80497,90.36357,87.52892,92.28818
2002,90.79819,90.95757,88.60154,92.94083
2003,91.51602,91.12626,89.19857,94.34325
2004,93.7359,94.29794,91.49619,96.48772
2005,94.67087,95.69519,92.18073,97.11211
2006,96.27099,96.7973,93.27587,98.43665
2007,97.07285,97.38676,94.6595,99.36658
2008,97.31963,97.80453,94.59088,97.80557
2009,94.29371,95.23271,93.14724,98.06013
2010,95.92857,97.19135,94.96001,99.68154
2011,98.38935,98.55102,95.9313,100.4453
2012,98.71104,98.1635,95.86633,100.4769
2013,98.15866,98.84315,96.60489,101.1376
2014,98.78854,98.78803,97.14356,101.708
2015,99.93725,99.85965,97.72749,102.4756
2016,100.6667,100.8243,97.56846,102.7396
2017,101.6631,101.295,99.00467,104.4093
2018,102.4518,102.1279,99.88272,105.4201
2019,103.2287,103.1943,100.9884,105.0812
2020,97.34444,84.91679,98.75788,101.9094
2021,99.20381,99.06651,99.21313,104.1936
2022,101.3974,,,
