year,Q1,Q2,Q3,Q4
1995,82.93626,85.48181,94.5475,95.09261
1996,85.80061,88.42706,97.81055,98.3793
1997,89.22645,93.02599,102.806,103.4855
1998,90.70333,93.0558,101.1251,101.8327
1999,91.73395,95.79571,104.6725,106.4829
2000,96.97597,98.78783,108.0847,108.8804
2001,101.1987,102.9941,112.1115,112.0837
2002,103.4911,106.5404,113.06,111.2448
2003,106.8626,111.2875,117.4546,117.7072
2004,111.7335,114.0221,121.1555,118.1432
2005,110.8642,114.115,120.4791,118.0849
2006,114.8661,119.346,122.4656,124.3359
2007,115.8274,124.401,126.2226,123.6653
2008,116.2743,120.8711,124.2729,120.9296
2009,107.5534,116.6573,119.9215,120.1788
2010,110.44,112.555,112.3526,114.9856
2011,101.4486,106.2552,108.838,106.1863
2012,96.66129,102.2497,105.3638,104.8624
2013,94.79657,100.2115,103.1657,102.7239
2014,92.83781,96.53156,100.0832,99.47033
2015,95.10105,99.97397,102.0286,102.8964
2016,91.24629,95.03446,98.79411,99.88541
2017,92.01597,96.9138,102.9943,99.16879
2018,90.97094,93.93923,98.81097,96.43477
2019,88.78145,94.5929,102.443,97.84763
2020,86.79974,81.55704,93.1825,92.04391
2021,91.4332,93.22388,100.7925,95.40082
2022,91.31621,,,
