year,Q1,Q2,Q3,Q4
1995,51.80983,53.90343,54.49052,54.24449
1996,54.09505,56.60913,55.63644,55.72559
1997,56.19399,59.76434,60.30521,60.99112
1998,59.82962,61.18786,61.26113,59.79387
1999,61.93948,61.82845,62.85239,64.6128
2000,64.43967,65.3862,65.72883,67.51862
2001,67.10076,67.37773,65.66897,68.59427
2002,68.77197,69.60922,69.18483,72.59014
2003,69.22572,70.34735,68.79382,74.92345
2004,72.65295,74.24999,70.82215,74.91747
2005,73.43168,74.85648,71.36256,75.29457
2006,74.52119,74.11269,73.25453,74.07046
2007,76.63463,74.79411,71.82101,75.3986
2008,73.27165,71.69754,72.01815,69.96062
2009,73.10497,74.19479,74.57367,73.66972
2010,75.45276,76.38696,78.06568,76.96587
2011,79.03051,79.42776,80.38036,77.42432
2012,79.01742,79.94772,80.12989,78.32431
2013,76.57814,77.64123,80.62631,77.34487
2014,80.74208,82.42307,84.97765,82.56346
2015,100.9,95.93807,102.3895,100.7724
2016,96.38589,93.36642,97.01505,106.5841
2017,98.48042,98.32445,108.4549,111.4586
2018,108.3804,107.5937,113.9647,112.1851
2019,109.1916,109.5582,117.91,113.851
2020,113.8351,119.2864,134.901,123.114
2021,135.124,131.3601,136.7612,122.6129
2022,133.4773,,,
