year,Q1,Q2,Q3,Q4
1991,82.2952,78.88715,82.2422,89.10965
1992,82.35049,78.77895,82.61208,88.007
1993,83.3803,78.56415,81.46278,88.25822
1994,82.01426,78.46822,82.09604,86.75813
1995,82.9567,80.90625,84.08365,89.84029
1996,85.9017,83.35573,85.65302,91.87645
1997,86.87219,82.98038,85.78002,90.82112
1998,85.3205,82.65542,85.34175,90.96554
1999,85.85426,83.47861,86.1031,90.40598
2000,89.01508,86.18816,88.47447,92.59598
2001,90.89146,87.45021,88.9967,92.25459
2002,90.44187,88.59426,90.73982,94.58669
2003,92.59332,89.7831,91.92554,96.49909
2004,95.26125,91.52435,93.93999,97.4546
2005,96.13137,92.63184,95.26128,99.30224
2006,97.95515,93.56369,95.15366,99.93714
2007,99.51079,94.20296,96.15553,100.1435
2008,99.72263,94.06525,95.67503,96.87292
2009,91.31921,89.58925,91.98365,96.88316
2010,96.15155,93.16853,97.01362,99.56256
2011,96.92767,92.43828,97.12026,99.80224
2012,100.355,95.26721,97.03522,99.81348
2013,99.96605,96.38345,99.30982,101.6823
2014,102.11,95.50584,97.41836,100.7438
2015,101.7341,97.45912,99.04052,101.7663
2016,101.9218,97.0035,98.24519,101.599
2017,101.9196,97.21969,99.06618,102.7633
2018,101.0419,96.28448,97.22384,100.3424
2019,99.74959,95.63458,96.98599,97.62301
2020,97.28407,86.80621,92.71666,97.6331
2021,96.11088,92.63712,93.37109,98.44407
2022,96.90634,,,
