year,Q1,Q2,Q3,Q4
1995,83.64311,82.00933,79.40155,84.83569
1996,83.92291,83.39425,80.78392,86.29281
1997,84.744,84.41543,81.63088,87.69402
1998,87.38649,86.0776,83.13732,89.50819
1999,88.51535,87.55811,84.94032,92.3224
2000,91.65257,90.17426,86.37971,93.33746
2001,91.9654,90.92518,86.6418,93.19092
2002,90.86182,90.36706,86.81866,92.84377
2003,91.28514,90.6175,87.39563,94.15404
2004,94.06321,93.51953,90.13356,97.22202
2005,94.37743,95.07008,91.93997,98.68781
2006,96.22019,96.88885,93.04969,98.68373
2007,96.84561,96.90499,93.91217,100.3124
2008,97.74899,98.42133,94.92952,98.92881
2009,93.9903,94.58676,92.5465,97.77983
2010,95.57817,97.15508,94.35521,99.56077
2011,97.14838,98.46479,94.78819,98.89955
2012,95.86957,97.82767,94.16583,98.17646
2013,95.47248,98.60934,95.33273,100.7256
2014,97.30616,100.1234,96.64536,101.943
2015,98.51411,101.3897,97.74685,102.3493
2016,99.21489,102.3074,98.44738,102.5964
2017,100.2206,102.9509,98.75572,102.7208
2018,99.92798,103.0322,98.12514,102.0897
2019,99.02271,102.443,98.5112,101.8316
2020,97.82282,95.35265,95.62719,99.48061
2021,96.89713,102.0921,98.14301,102.177
2022,98.64002,,,
