year,Q1,Q2,Q3,Q4
1995,84.93173,81.54202,82.01176,88.58877
1996,87.83833,84.12829,85.46217,89.38708
1997,87.49371,88.76724,85.64346,92.60317
1998,91.14082,87.43089,84.83931,91.07449
1999,89.67156,86.63906,87.41079,94.54162
2000,94.9789,88.18872,88.75587,95.6555
2001,95.42451,90.22855,91.2475,97.97132
2002,93.66389,94.92872,91.38485,100.0185
2003,98.62144,93.8413,94.76097,101.9152
2004,103.4829,98.2841,96.31463,105.1629
2005,101.2589,101.8238,99.31887,106.5415
2006,103.4002,98.06384,97.73798,106.301
2007,102.606,97.14957,97.03498,105.0204
2008,97.66319,97.04742,94.60873,101.8709
2009,98.15301,94.24393,93.74942,99.82892
2010,99.79579,96.78284,92.19576,101.0258
2011,98.368,94.40947,94.63999,100.5453
2012,99.74126,96.4707,93.64397,100.6045
2013,95.88305,97.8839,95.4734,100.8568
2014,98.19173,96.84977,96.2362,102.4559
2015,100.3665,98.80479,97.92126,102.9075
2016,100.9145,101.0674,96.38622,104.8594
2017,104.9492,99.81914,98.20705,105.0406
2018,102.8618,101.0645,97.42548,104.5955
2019,103.0557,98.06998,96.53996,105.0232
2020,103.6891,96.82169,98.92066,106.4427
2021,104.6842,102.0846,101.1212,108.6403
2022,105.3501,,,
