year,Q1,Q2,Q3,Q4
1995,79.00693,80.22143,80.39305,81.23946
1996,80.33367,81.60032,81.60348,83.08453
1997,82.105,83.42839,82.8686,83.88775
1998,83.40527,84.25972,85.15837,85.94142
1999,85.54745,86.4019,86.57056,88.12495
2000,87.38763,87.71031,87.89039,89.12994
2001,86.79526,88.40994,87.90974,89.67649
2002,87.90057,88.82377,88.14298,89.29424
2003,87.11446,87.40852,89.07015,90.69666
2004,89.65347,90.60733,91.4246,91.49732
2005,91.17037,92.07483,91.81541,92.64399
2006,91.53562,93.14083,92.32855,95.2164
2007,93.79483,95.40503,95.28036,96.9969
2008,94.64337,95.21895,96.18574,95.26203
2009,92.17007,94.33201,96.70081,96.60039
2010,95.09163,97.96523,99.59294,99.31916
2011,96.83974,97.95596,98.78759,99.37151
2012,97.3043,97.48162,98.55444,99.7609
2013,99.23829,100.6037,100.414,100.625
2014,98.70753,99.85471,99.49211,100.3859
2015,98.79044,99.79257,101.1332,100.2838
2016,99.28657,100.468,100.9608,100.8553
2017,99.55933,100.4165,101.4381,101.0191
2018,99.22016,101.5214,101.9717,101.8012
2019,100.7513,103.424,103.932,104.0249
2020,98.67535,87.87337,99.73839,98.01187
2021,94.7385,97.83139,100.5084,101.8644
2022,100.7659,,,
