year,Q1,Q2,Q3,Q4
1993,64.7465,66.89994,60.09198,70.96104
1994,69.28175,70.19804,62.13509,73.99429
1995,71.74603,71.51488,63.11454,75.58089
1996,73.55613,73.15446,64.83568,77.19403
1997,74.48861,77.61278,67.77944,81.57332
1998,77.56045,79.42529,69.49336,82.74165
1999,78.74624,80.7426,71.05374,85.20503
2000,80.71629,83.08215,73.51095,85.48734
2001,80.74549,82.15582,72.40919,85.45885
2002,80.79438,84.5439,74.97837,87.36399
2003,84.2394,85.49944,77.16538,90.29639
2004,88.28638,90.6133,80.47991,94.95
2005,89.81918,94.25687,82.95468,97.04032
2006,93.45527,96.46508,84.99652,99.29009
2007,94.81693,97.21581,85.78939,100.4043
2008,94.07253,98.65228,85.58997,95.63861
2009,90.05932,94.85053,83.62796,96.84055
2010,93.82966,100.2145,88.00816,102.6178
2011,96.5414,100.8548,89.42079,101.1458
2012,96.25084,99.95061,87.46156,99.25692
2013,95.42354,100.0372,87.74124,100.5222
2014,96.22086,101.1533,88.69402,102.4596
2015,97.85038,104.4032,91.74572,106.0007
2016,98.56049,104.9424,91.28613,106.0185
2017,99.19968,104.2987,91.63456,106.1393
2018,99.49681,105.617,91.06953,106.4061
2019,100.9793,106.228,93.22212,107.728
2020,102.0331,100.3173,94.06616,108.0771
2021,102.2516,108.2324,96.34766,113.1726
2022,102.8609,,,
