year,Q1,Q2,Q3,Q4
1991,66.99135,68.62556,70.27797,73.86655
1992,69.23116,71.2039,72.01268,77.01291
1993,73.02423,74.31071,74.34785,78.83745
1994,73.9635,75.64962,76.25515,79.08281
1995,73.27779,74.36288,75.68253,80.06348
1996,74.30699,76.56939,76.89967,83.51809
1997,75.88781,79.89661,80.28416,85.54707
1998,79.61661,81.14512,82.71053,88.05379
1999,82.18127,83.6167,84.74876,88.3854
2000,83.93501,84.96125,84.616,87.97025
2001,83.91312,85.02052,86.38536,91.10842
2002,85.18827,88.05752,88.32105,91.89952
2003,84.90305,87.87984,89.21299,94.5724
2004,87.88619,90.43142,91.19543,94.84795
2005,87.65458,89.97872,90.47054,95.00463
2006,87.82873,90.16862,90.86851,94.94019
2007,88.79882,91.75349,92.10661,95.78294
2008,88.43929,91.83061,91.58915,95.13476
2009,88.95733,92.92252,92.92056,96.76908
2010,89.49158,93.90063,93.22569,96.75714
2011,89.18337,94.13704,94.58902,99.09467
2012,92.60043,97.09054,96.82787,100.4892
2013,93.42286,97.78549,98.02127,102.5524
2014,95.74828,99.84036,99.75736,103.4015
2015,96.36611,100.0492,100.5614,103.0233
2016,96.71765,101.3807,100.8408,104.8213
2017,97.62443,101.5257,101.2742,103.5972
2018,97.2363,102.0592,101.4993,103.6967
2019,96.98411,100.9272,100.9579,104.2097
2020,96.78736,99.10052,99.89935,104.6873
2021,98.30372,102.0775,100.2018,106.9374
2022,98.5191,,,
