year,Q1,Q2,Q3,Q4
1995,80.57787,83.24931,78.82731,85.25156
1996,81.06704,84.21392,79.66984,86.41071
1997,83.23415,86.97363,82.46567,88.91199
1998,84.96459,87.34228,81.93975,88.0707
1999,84.93752,88.68812,84.25801,91.70042
2000,87.29517,90.56506,84.9166,92.68333
2001,87.49361,90.51011,84.5363,92.00995
2002,87.51775,91.4091,86.25269,94.59409
2003,89.35752,92.15166,86.81738,95.50996
2004,91.07768,94.71896,89.39005,97.94383
2005,91.96031,95.46848,89.7804,99.21164
2006,93.50787,96.55088,90.97066,100.6815
2007,95.59261,98.87096,92.91235,101.8716
2008,95.58033,98.84402,91.56695,98.20293
2009,91.74163,94.66459,90.32736,100.3051
2010,94.19784,97.58928,91.88911,101.6675
2011,95.07085,97.79902,92.05781,101.7894
2012,95.3012,98.1751,92.45623,102.0032
2013,95.32388,99.14442,93.28006,103.102
2014,96.67239,99.97038,94.36428,104.4245
2015,97.88813,101.6442,95.14996,105.3177
2016,98.10478,101.7325,94.95201,105.2662
2017,98.77662,101.657,94.56675,105.265
2018,98.60614,101.9546,95.14849,106.0314
2019,99.0035,102.4414,95.8548,106.4566
2020,96.82696,89.13702,92.82886,102.0212
2021,96.51113,100.6383,95.08003,105.4032
2022,98.64204,,,
