year,Q1,Q2,Q3,Q4
1995,82.18232,84.12443,84.66878,87.27599
1996,83.75024,84.65457,84.23775,88.23607
1997,84.11343,86.80901,87.01417,91.14678
1998,86.51949,88.74512,88.12229,91.69376
1999,86.90689,88.50163,88.59643,94.34497
2000,89.97503,91.53685,91.75363,95.73484
2001,90.78237,92.09151,91.41483,94.40775
2002,89.85603,91.31429,91.1524,93.74534
2003,89.30606,90.78384,91.63354,95.48273
2004,92.13409,93.92749,93.99477,96.46935
2005,93.22796,95.95141,96.16542,99.18784
2006,95.91132,97.58675,97.69932,100.2423
2007,96.93118,98.95186,99.20631,101.7433
2008,98.14023,100.5304,100.3938,99.21372
2009,93.59068,95.9276,97.69113,100.9908
2010,97.99783,99.28491,99.97994,102.4369
2011,98.03278,99.47755,98.91646,100.6992
2012,97.50855,98.52874,98.17883,100.7201
2013,97.05666,99.4865,99.46259,101.2882
2014,98.24792,99.76187,99.96326,101.5119
2015,97.23656,99.84504,100.5115,102.4069
2016,98.26505,100.8633,100.7402,102.7206
2017,99.60915,100.8044,101.1056,103.7557
2018,101.6555,103.9884,102.3639,104.8204
2019,101.8091,103.484,103.6683,105.8099
2020,100.6753,98.44601,103.0618,104.592
2021,102.1079,105.9618,106.1088,107.2406
2022,104.9005,,,
