year,Q1,Q2,Q3,Q4
1991,79.45309,80.56995,81.65493,83.69368
1992,83.06528,82.85802,84.11874,85.98221
1993,82.18175,83.50808,84.82072,86.59504
1994,84.58696,85.44872,86.44724,88.53797
1995,86.09667,86.5752,87.2374,88.93665
1996,85.87527,86.97399,88.39735,90.2994
1997,86.38949,89.6852,90.01508,91.87563
1998,89.60529,89.43798,90.40001,91.45228
1999,88.7849,89.73189,90.64632,92.63285
2000,90.29239,90.72264,91.10952,92.30047
2001,92.09766,92.31683,92.9641,94.23889
2002,90.75303,92.65976,94.16621,95.0941
2003,91.45427,92.70433,94.43396,95.49814
2004,93.0594,93.88229,94.44006,95.94435
2005,92.60446,95.3607,95.66435,96.9045
2006,96.50645,97.23277,98.05977,100.4016
2007,98.43028,98.53465,99.41409,100.7546
2008,98.7626,99.99164,99.0308,97.64519
2009,91.44167,91.75667,93.71499,95.36914
2010,94.09821,95.87874,97.4894,98.98776
2011,98.9372,98.31759,99.85979,99.72366
2012,99.13551,97.60107,98.72356,98.57581
2013,96.70767,97.63031,99.14139,99.13523
2014,98.94239,98.0336,100.0804,100.7935
2015,99.23464,98.6897,100.5972,101.4785
2016,100.0889,100.9685,101.2579,101.5635
2017,102.2889,100.978,102.5766,103.3368
2018,102.1773,101.7524,101.6934,102.415
2019,102.5544,100.8663,102.7136,102.457
2020,100.5151,90.47047,100.3173,101.8252
2021,98.95704,100.164,102.4943,102.7032
2022,101.3872,,,
