year,Q1,Q2,Q3,Q4
1993,73.44976,69.37129,72.3747,75.60634
1994,76.06062,72.40557,75.64882,79.01401
1995,78.36204,75.43266,79.14153,81.94498
1996,78.78238,77.80145,80.86752,82.99836
1997,82.58999,78.97793,82.42947,84.56509
1998,85.07304,82.59647,84.36913,85.18449
1999,86.04572,84.0144,85.48437,87.23976
2000,88.71149,85.09647,86.7203,89.32046
2001,89.79862,86.97218,89.80858,90.31525
2002,90.48389,88.54231,90.40578,91.4523
2003,92.08786,90.01601,91.41089,92.86683
2004,94.12955,91.29269,93.30381,95.42829
2005,94.79878,92.37475,94.77449,95.4614
2006,97.94207,93.52927,95.82008,98.07742
2007,98.66066,95.01803,97.35267,97.93772
2008,99.50014,96.574,98.84253,99.7517
2009,94.50662,96.89292,96.93398,96.28064
2010,96.04456,92.66949,95.04111,96.88605
2011,96.27112,94.84406,96.53598,98.78378
2012,97.70578,95.27029,98.02887,100.3183
2013,97.93627,95.90837,97.86441,99.85667
2014,98.16441,98.05536,98.08461,100.049
2015,98.84267,98.61355,98.7215,101.0301
2016,99.44351,99.60793,99.78752,101.7619
2017,100.8877,100.5027,100.0336,103.1511
2018,100.3948,101.2838,101.4804,104.0438
2019,102.2525,101.4651,102.5146,105.1463
2020,99.09205,101.7345,103.0775,104.8565
2021,96.88193,79.99279,96.02354,101.7841
2022,100.8542,101.5807,101.4752,106.8343
