year,Q1,Q2,Q3,Q4
1995,66.9809,69.55459,68.72695,71.93694
1996,67.31406,69.47413,68.53689,72.61971
1997,66.97327,71.35267,70.79811,74.6004
1998,68.81207,73.49771,73.26328,76.54703
1999,68.73234,73.07566,74.01936,79.41718
2000,71.84628,76.41802,76.61029,81.71837
2001,73.94012,79.5295,79.81703,85.28676
2002,77.69666,83.12315,84.06051,89.25468
2003,79.25685,84.77689,86.07076,91.04511
2004,82.52599,90.10994,91.88918,97.7002
2005,86.45624,95.76886,96.26925,101.8998
2006,90.21556,97.98573,99.35722,104.6625
2007,91.44739,98.44041,100.159,106.2878
2008,95.13271,103.4551,103.518,105.4123
2009,89.69877,96.52172,98.69491,103.1103
2010,92.40496,98.53472,99.70405,103.9526
2011,94.72115,99.62717,100.68,107.181
2012,93.55969,97.01638,99.22095,103.797
2013,92.10038,97.36224,100.5202,105.4689
2014,91.69407,97.52008,99.49777,105.5306
2015,93.31831,98.75331,100.6304,107.298
2016,90.52326,97.78853,99.96763,105.8465
2017,92.45658,99.5315,102.6124,108.6475
2018,94.77975,102.5797,106.0051,112.0136
2019,97.70635,105.613,110.196,116.1348
2020,98.95611,95.56042,106.9534,113.4124
2021,98.65733,108.2172,110.8645,117.6902
2022,103.5078,,,
