year,Q1,Q2,Q3,Q4
1995,78.2252,79.85105,80.69745,81.16578
1996,81.52148,80.56877,81.21861,81.95705
1997,81.97155,83.03967,82.52179,82.1685
1998,83.79015,83.16779,83.82786,83.98501
1999,81.3049,84.38339,85.52119,84.55041
2000,84.90372,86.31969,90.1344,90.5214
2001,88.71655,86.50836,87.42149,85.20097
2002,85.20905,87.22472,87.02699,85.0687
2003,85.34889,85.58931,88.64119,84.86551
2004,87.90846,87.82472,91.16636,88.92462
2005,88.36389,88.61198,91.08755,90.45864
2006,91.89914,92.18489,92.13646,92.37325
2007,92.05765,92.94611,94.5342,95.78823
2008,93.74076,93.44238,94.79516,93.17651
2009,90.98833,92.16068,94.06438,94.54382
2010,93.91467,94.47552,95.34499,97.10723
2011,96.67101,96.07671,98.99628,99.25533
2012,97.07637,95.51986,96.17451,97.97984
2013,95.95721,99.18979,98.23778,101.2312
2014,98.65291,98.73523,100.2648,102.9574
2015,100.3427,99.02393,98.48241,102.151
2016,100.5975,100.0881,102.4007,105.1583
2017,102.1207,102.4345,103.5925,107.8598
2018,106.0139,104.9562,105.5936,109.1568
2019,107.6331,105.8519,108.3851,112.4433
2020,107.7211,100.2694,110.4273,114.9663
2021,110.0034,116.458,113.0146,121.4401
