year,Q1,Q2,Q3,Q4
1991,90.13432,92.4892,90.63129,93.62821
1992,90.25632,93.10824,92.60649,96.06627
1993,91.45558,95.50484,93.77549,98.30705
1994,95.13664,98.88471,97.50939,102.1173
1995,99.69263,102.2784,99.93741,103.9043
1996,100.8432,103.4823,98.96393,104.8092
1997,99.34921,105.0776,100.8179,108.9342
1998,101.8949,106.4997,101.8194,107.2267
1999,101.5349,106.013,102.026,110.0447
2000,104.9469,108.3594,103.4852,110.3338
2001,106.0159,109.0065,103.0842,109.0285
2002,102.5629,107.1161,102.8385,108.5827
2003,102.1114,104.6318,101.6113,107.2018
2004,102.1762,106.2056,102.7354,107.8107
2005,101.2875,105.9788,104.318,108.397
2006,102.5616,105.2658,103.395,108.0042
2007,103.9983,106.2546,103.263,106.7666
2008,103.3191,105.5899,102.5626,103.8577
2009,96.74496,100.0827,99.83242,103.3548
2010,98.41726,103.1182,102.5143,105.3978
2011,100.5398,104.1398,102.4778,104.0765
2012,98.77689,100.3909,99.32521,101.5758
2013,97.10258,100.3405,100.341,102.0695
2014,97.77899,100.3137,100.0088,101.4116
2015,97.46238,100.4279,99.91721,102.1925
2016,97.7374,99.96323,100.1668,101.8864
2017,98.67273,100.5674,99.94558,102.5694
2018,99.1278,100.1393,99.61475,102.8791
2019,99.0724,100.4653,100.0575,102.0735
2020,92.84879,84.91473,97.29299,98.01414
2021,95.35042,98.48267,99.47913,102.1579
2022,99.09018,,,
