year,Q1,Q2,Q3,Q4
1995,94.34486,97.03493,93.26279,95.97723
1996,94.84241,90.10587,93.97497,97.29617
1997,95.73528,97.7054,94.29533,96.37853
1998,95.90481,99.70977,97.4733,99.36643
1999,100.0301,102.6488,101.1431,102.2179
2000,104.55,103.8315,101.0426,103.3756
2001,100.7082,100.517,97.64225,103.468
2002,99.93576,103.8503,98.34943,102.0116
2003,97.76309,102.3804,99.197,107.2083
2004,102.5007,104.4398,102.1399,105.144
2005,100.4846,103.0866,100.4734,109.046
2006,105.456,107.0421,102.7361,106.689
2007,109.1568,112.5747,106.4676,108.7971
2008,107.4718,107.3185,101.491,99.7653
2009,97.46848,100.5179,98.88837,101.6063
2010,101.8651,103.6786,98.85336,101.6113
2011,100.6434,99.68686,97.92714,100.2186
2012,98.13338,98.43602,97.0496,101.727
2013,99.00705,101.1926,99.0022,101.4115
2014,99.48201,98.57121,98.55264,104.5214
2015,99.36554,100.4622,98.1188,102.0535
2016,99.98992,102.0053,100.9647,104.5701
2017,97.56731,99.53725,99.32442,102.445
2018,96.97118,97.51234,97.40302,100.6796
2019,96.16946,98.68839,97.18526,99.78654
2020,93.14183,89.61987,95.47603,99.55991
2021,96.16679,97.70675,97.20168,100.6993
2022,96.48668,,,
