year,Q1,Q2,Q3,Q4
1991,75.24437,74.20655,73.30625,79.60509
1992,76.54198,76.47425,72.15247,79.22704
1993,77.38997,77.43961,74.83418,82.94515
1994,81.20232,80.61594,75.39695,82.87728
1995,79.47205,80.29315,75.29878,83.35574
1996,79.45947,80.01732,76.04094,84.59974
1997,80.10264,82.08947,79.52186,86.10117
1998,82.13418,82.419,79.09782,88.95464
1999,84.75601,85.23868,82.42997,90.17014
2000,88.35954,87.53297,83.21355,90.59039
2001,86.09077,87.60964,84.07911,91.39497
2002,87.75407,87.35747,86.14537,94.35486
2003,90.91758,89.69939,86.77844,94.85004
2004,93.02095,91.54276,87.82529,93.2627
2005,90.33238,91.37146,87.79984,94.45628
2006,91.1171,89.31873,88.59277,96.06477
2007,92.21704,92.45802,90.73197,97.52507
2008,94.8906,91.62224,88.82383,95.0643
2009,92.50547,93.12207,91.45081,99.81506
2010,96.91058,96.77869,91.38593,97.90648
2011,95.17921,95.07158,92.92282,101.0467
2012,97.5942,97.20361,95.19849,105.3884
2013,100.3873,98.42117,95.12506,102.1577
2014,98.64381,97.49865,95.22602,102.4036
2015,98.73523,98.37859,97.88908,104.9971
2016,100.8848,98.47337,95.70383,101.8942
2017,98.46942,99.03835,95.57848,103.1932
2018,100.147,100.036,96.56516,106.3851
2019,102.3129,101.6602,99.34332,106.4417
2020,100.8311,91.11551,101.6406,107.3149
2021,104.7759,105.3565,96.15926,105.4173
