year,Q1,Q2,Q3,Q4
2006,79.75811,82.37428,86.74689,89.80046
2007,83.03727,83.23802,88.63409,95.8474
2008,88.27374,83.08491,87.30974,87.78842
2009,75.75603,78.82176,85.78355,87.31132
2010,75.33128,79.27627,88.86255,91.09419
2011,78.5555,83.40078,92.45477,94.38793
2012,81.92172,84.70381,93.99763,94.35693
2013,84.45174,89.93266,100.0376,100.3553
2014,90.03503,91.02831,102.0768,104.1154
2015,91.11767,95.63428,104.5942,108.6538
2016,92.43869,97.54503,102.6679,111.8363
2017,95.52621,100.4787,109.3797,113.8614
2018,98.25772,103.9724,110.2357,111.6512
2019,98.6889,105.4865,114.4409,119.0129
2020,105.3092,103.3424,125.9953,131.497
