year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,28.27,27.95,25.84,22.37,18.53,16.74,14.62,16.22,19.71,24.22,25.45,26.9
1992,27.62,27.55,26.5,22.82,18.42,15.25,14.84,16.06,18.79,22.04,23.98,26.44
1993,28.41,26.99,25.7,23.26,18.75,14.91,15.18,16.56,19.19,22.02,25.79,26.51
1994,28.68,27.18,24.88,22,18.43,15.07,14.57,15.57,19.35,23.21,25.52,27.96
1995,28.09,26.75,24.93,21.32,17.64,15.35,14.51,17.02,20.17,22.55,25.65,26.58
1996,27.93,27.51,25.58,21.79,18.39,16.94,14.97,16.48,19.68,23.1,25.24,26.99
1997,27.35,27.93,24.76,22.04,17.81,14.87,13.58,15.76,20.12,23.14,25.86,27.89
1998,28.57,28.42,26.63,22.38,19.23,15.47,14.42,17.33,20.3,23.25,25.27,27.08
1999,28.94,27.18,25.89,21.02,18.94,15.35,14.79,16.65,20.42,23.14,23.78,25.94
2000,26.92,27.09,25.2,21.7,16.79,14.13,14.74,15.84,20.74,22.18,25.31,26.94
2001,28.87,27.4,24.63,22.03,17.46,15.6,14.42,15.87,19.87,21.35,24.55,26.15
2002,27.66,26.37,25.74,23.58,19.19,15.24,14.54,16.08,20.01,23.47,26.59,27.8
2003,28.51,27.95,25.07,22.71,18.91,15.66,14.93,16.3,20.17,22.06,25.82,27.85
2004,28.22,27.95,25.63,22.84,17.83,15.56,14.38,15.71,18.91,24.22,25.49,27.41
2005,28.24,27.75,26.51,24.32,19.13,15.79,15.06,16.13,20.05,23.53,25.85,27.77
2006,28.81,27.57,26.02,21.16,16.97,13.71,13.91,16.7,20.18,23.77,26.6,26.94
2007,27.56,28.49,25.7,22.66,19.41,13.29,14.23,16.62,20.16,23.64,25.71,26.81
2008,28.76,26.48,25.68,21.39,18.06,15.6,14.16,14.81,20.17,23.91,24.81,26.82
2009,28.13,27.38,25.73,22.28,17.69,15.29,14.62,17.52,20.07,22.76,26.67,27.61
2010,28.23,27.57,25.45,22.87,17.91,14.81,14.51,15.5,18.86,21.84,24.51,26.19
2011,28.36,26.66,24.25,21.4,16.71,14.39,14.67,16.83,19.26,22.97,25.53,26.64
2012,27.97,26.84,24.46,21.99,17.41,14.47,13.74,16.17,20.14,23.37,26.52,28.11
2013,29.48,27.93,26.13,23.05,18.97,15.6,15.47,17.43,21.53,23.97,25.76,27.64
2014,28.84,27.38,26.3,23.05,19.64,15.44,14.5,16.02,20.31,24.48,26.94,27.89
2015,27.89,28.88,26.2,21.37,17.81,16.18,14.53,16.49,19.33,24.78,27,27.96
2016,28.35,28.29,27.02,23.82,19.71,16.14,14.98,16.27,19.01,22.2,25.8,27.64
2017,28.61,27.76,26.95,22.01,18.64,15.34,15.68,16.82,20.31,23.96,25.93,28.1
2018,29.11,28.04,26.33,23.94,18.2,15.18,15.23,15.8,19.58,24.25,25.85,28.75
2019,30.02,28.25,27.09,22.97,18.49,15.12,15.52,16.01,19.99,24.45,26.16,29.78
2020,29,28.14,26.03,23.43,17.37,15.9,14.91,17.01,21.29,23.47,27.33,27.2
2021,28.15,27.16,25.62,22.08,18.44,15.16,15.57,17.02,19.99,23.28,24.56,27.93
