year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,34.78,34.49,32.96,29.45,25.41,23.04,21.57,23.77,27.58,32.26,32.65,34.15
1992,34.78,33.89,33.25,28.94,24.17,21.6,22.2,22.91,25.66,29.25,31.23,33.36
1993,35.2,33.21,32.65,30.33,24.87,20.97,21.64,23.76,26.16,29.25,33.12,33.24
1994,35.99,33.29,31.84,29.38,25.98,22.05,22.24,23.39,27.45,31.04,32.94,35.27
1995,34.62,32.88,31.61,28.04,23.63,21.49,21.27,24.49,27.48,29.92,32.76,33.61
1996,34.95,34.64,32.32,28.58,25.29,23.22,21.49,23.37,27.46,30.44,32.89,33.98
1997,33.95,33.94,31.56,29.43,23.64,21.49,20.61,23.08,27.47,30.65,33.38,34.98
1998,35.47,35.55,33.65,28.68,25.81,21.69,20.36,24.27,27.25,30.32,32.35,34.01
1999,35.73,33.51,32.09,27.67,25.92,22.12,21.88,24.11,28.14,30.33,30.56,32.52
2000,33.61,32.95,31.08,27.45,23.06,20.82,22.08,23.44,28.96,29.34,32.19,33.85
2001,35.82,33.56,31.08,29.29,24.68,22.47,21.41,23.83,27.49,28.54,31.69,33.19
2002,34.86,32.68,33.02,30.93,26.49,22.57,22.75,24.16,27.95,31.91,34.31,35.33
2003,35.55,34.1,31.88,29.53,25.69,22.44,22.09,23.36,27.88,29.65,33.27,34.86
2004,35.1,34.33,32.36,29.85,24.24,22.34,21.27,23.36,26.64,32.2,32.88,34.62
2005,35.41,35.06,33.59,31.52,26.25,21.93,21.76,23.33,27.38,30.89,33.17,35.31
2006,35.2,34.18,32.32,27.5,24.04,20.83,20.83,24.89,27.99,31.59,34.5,34.09
2007,34.12,35.46,32.05,29.78,26.02,19.61,21.53,24.3,28.32,31.57,33.05,33.65
2008,35.67,32.66,32.72,28.8,25.67,22.16,21.43,22.13,27.8,31.64,31.66,33.77
2009,34.84,33.9,32.92,29.15,24.35,21.99,21.62,25.52,27.92,30.69,34.34,34.9
2010,35.1,33.92,31.9,29.27,24.49,21.41,20.88,22.47,25.55,28.85,31.49,32.94
2011,35.05,32.59,29.83,28.27,23.45,21.39,21.66,24.84,27.52,30.23,32.67,33.6
2012,34.64,33.72,30.65,29.09,24.8,21.44,21.02,24.47,28.39,31.61,34.27,35.48
2013,36.88,34.82,32.72,30.33,25.4,21.6,22.43,25.65,29.67,32.2,33.36,35.08
2014,35.82,33.73,33.14,29.68,26.15,22.15,21.99,23.82,28.47,32.72,34.6,35.17
2015,34.52,36.08,33.04,27.84,24.51,22.79,21.46,23.94,27.42,32.83,34.55,35.05
2016,35.05,35.42,33.44,30.89,26.2,21.92,21.37,23.42,25.93,30.03,33.64,34.69
2017,35.11,34.54,33.79,29,25.83,22.77,23.35,24.78,28.5,31.55,33.3,35.39
2018,36.15,34.75,33.17,31.4,25.44,22.26,23.05,23.83,27.77,31.91,33.2,36.22
2019,37.27,35.41,33.88,29.96,25.44,22.11,23.02,23.77,28.39,32.56,34.21,37.78
2020,35.87,34.45,32.59,30.25,24.19,23.1,22.44,24.57,29.02,30.94,35.06,33.96
2021,34.87,33.54,32.1,29.42,25.33,21.6,22.58,24.8,27.84,31.05,31.49,35.47
