year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,5.51,3.32,12.57,13.36,15.25,17.32,24.1,24.83,21.48,13.98,8.32,6.16
1992,4.88,7.79,10.56,13.32,20.91,21.7,23.63,23.48,19.17,11.58,10.52,6.6
1993,8.01,4.18,10.69,15.96,19.39,21.61,21.58,21.73,17.41,12.16,5.14,8.22
1994,7.19,5.67,11.53,12.89,17.23,21.29,27.12,23.16,17.68,14.21,12.41,8.87
1995,6.31,9.52,9.4,13.29,18.62,19.49,26.31,25.43,17.99,17.44,9.55,3.48
1996,3.02,3.65,7.62,15.07,15.24,21.5,22.14,22.63,17.21,14.81,8.17,3.38
1997,1.54,9.22,12.3,13.29,18.18,20.56,22.45,26.43,20.63,14.25,9.48,7.55
1998,6.82,9.67,11.18,12.79,20.02,20.96,21,23.27,18.76,13.12,6.43,6.91
1999,7.56,5.96,11.09,14.31,19.58,20.64,24.84,23.17,22.35,14.46,8.61,7.26
2000,6.09,9.08,10.51,14.68,19.6,22.06,19.75,23.64,20.06,14.72,10.34,8.28
2001,5.71,7.83,9.31,12.1,19.96,20.43,23.98,24.35,16.78,17.87,9.29,5.68
2002,6.11,10.1,11.72,14.43,17.92,22.27,22.44,23.24,19.2,14.11,11.01,6.74
2003,4.56,5.6,13.03,15.47,18.78,24.06,24.88,26.1,21.16,12.08,10.85,7.29
2004,5.49,7.53,10.07,15.17,17.42,21.15,22.31,23.83,20.46,15.31,8.86,5.59
2005,6.87,4.54,10.35,14.9,18.21,23.17,23.21,21.62,21.33,17.72,9.08,6.11
2006,3.65,4.72,7.75,13.48,18.7,22.74,27.66,20.49,23.01,17.66,12.28,8.89
2007,9.11,9.48,11.89,18.52,19.33,22.01,21.76,21.95,18.75,14.28,9.21,6.51
2008,8.55,9.61,9.49,13.12,21.15,21.68,23.54,22.48,18.32,14.27,9.37,5.26
2009,2.9,6.05,10.23,17.2,19.41,21.04,23.48,25.08,20.52,14.83,12.18,6
2010,1.66,4.96,10.27,15.43,15.52,22.54,25.76,21.74,18.6,14.31,8.55,1.9
2011,5.59,7.59,11.85,18.72,20.67,21.74,20.9,22.54,21.33,16,10.81,9.09
2012,7.07,3.73,13.57,12.83,19.46,19.91,22.1,24.73,19.6,14.34,9.51,7.88
2013,4.03,3.88,6.15,13.24,15.54,20.45,25.73,24.08,19.25,16.09,8.85,8.97
2014,8.01,9.57,13.77,16.83,18.05,21.9,24.4,20.96,21.17,17.2,11.03,7.54
2015,6.13,6.34,10.87,15.36,17.77,21.59,24.69,24.74,18.36,13.7,12.53,11.82
2016,7.09,7.88,9.34,13.19,19.12,20.97,23.71,24.12,23.05,13.88,9.01,7.68
2017,3.79,8.62,13.46,13.9,20.4,24.02,23.62,23.07,18.42,16.81,9.69,7.4
2018,8.09,3.66,8.57,17.65,21.93,23.09,27.46,25.26,21.34,17.18,9.99,8.53
2019,5.29,10.02,12.38,16.14,16.86,24.37,25.16,24.94,20.2,15.58,9.15,9.03
2020,8.29,10.44,11.43,17.96,19.58,22.51,23.55,26.44,21.67,14.78,11.77,8.18
2021,5.07,8.19,11.34,12.39,15.78,23.82,22.75,21.64,21.59,15.7,9.28,8.17
