year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,-1.76,-4.26,3.33,3.31,5.69,10.91,15.9,15.91,13.09,5.71,1.43,-2.55
1992,-2.73,-1.14,1.68,4.41,10.53,11.63,14.8,16.63,11.1,4.72,3.43,-1.01
1993,-0.12,-2.71,0.37,5.77,10,12.89,13,14.26,9.75,5.64,-0.43,0.4
1994,-0.59,-1.41,4.59,3.5,9.03,12.81,17.18,15.59,10.6,6.53,4.91,0.71
1995,-2.59,1.28,-0.2,4.94,8.66,10.62,16.69,13.88,8.71,9.7,1.45,-1.88
1996,-1.77,-3.52,-0.75,5.27,8.36,13.28,13.26,13.05,7.95,6.76,2.06,-2.05
1997,-2.96,0.89,3.64,3.83,9.34,11.74,13.11,15.58,12.5,7.32,2.4,-0.2
1998,-0.87,0.9,1.59,4.29,10.09,13.17,14.61,14.91,10.44,6.81,-0.66,-1.59
1999,-0.82,-3.25,2.04,4.89,10.79,11.56,15.06,14.21,13.23,6.99,0.25,-1.22
2000,-2.66,0.3,1.84,5.89,10.85,14.12,12.25,15.19,11.83,7.6,2.97,0.68
2001,-1.18,-0.13,3.03,3.26,11.09,11.43,14.76,15.5,8.33,10.12,0.61,-3.19
2002,-2.16,1.6,2.99,4.82,8.88,15.01,14.26,13.8,9.89,7.04,3.95,0.92
2003,-2.85,-4.23,3.09,5.15,10.74,15.31,16.17,17.37,11.53,4.42,3.27,-0.76
2004,-2.35,-1.3,0.58,5.19,7.81,12.72,14.12,14.72,11.99,8.67,1.65,-1.33
2005,-2.55,-4.38,1.25,5.2,9.67,14.33,14.76,12.78,12.29,8.52,1.21,-3.22
2006,-4.16,-3.08,-0.41,4.9,9.2,13.91,18.21,11.32,13.81,9.81,4.3,0.43
2007,0.94,1.42,2,8.45,10.46,13.38,13.99,13.41,9.71,6.62,0.68,-1.8
2008,0.05,0.5,0.73,4.04,10.63,13.35,14.35,14.13,9.52,7.13,1.94,-1.96
2009,-4.11,-2.71,0.68,7.3,11.31,12.66,14.89,16.07,12.2,6.52,4.22,-1.85
2010,-4.57,-2.41,0.57,5.7,7.49,13.03,16.52,13.41,9.88,6,2.23,-3.78
2011,-1.91,-0.66,2.53,8.23,11.11,12.89,12.6,15.42,13.31,7.15,3.54,0.53
2012,-1.23,-5.89,4.15,4.74,9.99,13.73,14.48,15.95,11.44,7.35,3.41,-1.05
2013,-2,-4.13,-0.48,5.55,7.1,12.52,16.81,15.06,11.61,8.61,1.82,-0.17
2014,0.3,0.8,3.81,7.08,8.73,14.06,14.3,12.72,12.16,9.5,4.79,0.3
2015,-1.14,-2.17,2.47,6.06,9.88,14.22,18.33,16.48,10.34,6.58,4.61,2.49
2016,-0.69,0.54,1.01,5.41,8.77,12.98,15.76,15.29,13.75,6.02,2.39,-0.51
2017,-4.65,0.88,4.45,5.12,10.45,15.72,15.81,16.02,9.73,8.22,1.94,-1.42
2018,1.27,-4.06,0.44,8.38,11.28,14.61,17.01,16.75,13.3,8.74,3.58,0.46
2019,-2.96,1.14,3.26,5.74,7.07,15.45,16.91,15.76,12.34,9.19,2.57,1.22
2020,0.32,2.27,2.21,8.23,9.87,12.87,16.08,16.36,13,6.63,4.14,0.02
2021,-2.5,1.24,1.7,3.67,7.02,15.4,14.67,13.64,12.98,6.95,1.95,0.08
