year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,0.82,-0.72,6.48,7.58,9.66,14.83,20.58,20.57,16.86,8.56,4.09,0.45
1992,-0.07,2.19,5.32,8.32,14.92,15.39,18.89,21.33,14.82,7.12,6.22,1.43
1993,3.05,0.21,4.35,9.77,14.17,17.08,17.21,18.74,12.94,7.94,1.83,3.4
1994,2.28,1.31,8.21,7.16,12.67,17.1,21.82,20.02,13.66,9.81,7.14,3.23
1995,0.5,4.52,3.56,8.62,12.71,14.39,21.23,17.66,11.85,12.87,4.31,0.31
1996,0.41,-0.68,2.84,9.5,12.14,17.64,17.55,16.93,11.37,9.71,4.77,0.25
1997,-0.71,4.6,7.69,8.5,13.67,15.51,17.18,19.92,16.76,10.47,5.12,2.23
1998,1.95,4.82,5.46,8.04,14.5,17.42,18.84,19.42,13.68,9.52,2.01,1.27
1999,2.3,-0.31,5.36,8.63,14.43,15.61,19.06,17.78,16.81,9.79,2.51,1.66
2000,0.03,3.5,5.38,9.94,14.93,18.7,16.09,19.46,15.51,10.06,5.52,3.15
2001,1.54,3.09,6.08,6.94,15.41,15.89,19.42,20.16,11.56,13.8,3.35,-0.32
2002,1.29,4.6,6.98,8.85,12.83,19.72,18.49,17.59,13.17,10.29,6.41,3.17
2003,-0.19,-0.62,7.92,9.76,15.12,20.36,21.11,22.43,16.07,7.52,6.4,2.35
2004,0.22,1.82,4.39,9.5,12.01,17.21,18.65,19.02,16.01,11.58,4.32,1.43
2005,0.66,-1.59,5.28,9.27,14.15,19,19.19,16.86,16.23,12.11,4.04,-0.75
2006,-1.18,-0.44,2.87,8.87,13.32,18.87,23.51,14.91,17.82,13.48,7.61,3.55
2007,3.75,4.86,5.9,13.32,14.93,17.81,18.54,17.57,13.5,9.92,3.3,0.87
2008,3.25,4.35,4.2,7.78,15.07,17.56,18.97,18.49,13.05,10.49,4.78,0.27
2009,-1.18,0.1,4,11.81,15.76,16.73,19.28,20.83,15.81,9.51,7.25,0.85
2010,-2.28,0.49,4.22,10.37,10.61,17.04,21.18,17.2,13.65,9.09,4.71,-1.14
2011,0.63,2.34,6.48,13.22,16.21,16.94,16.85,20.11,17.5,10.76,6.5,3.3
2012,1.29,-2.86,8.55,8.6,14.45,18.03,18.65,20.59,15.32,10.52,6.15,1.65
2013,0.26,-1.76,2.64,9.25,10.47,16.61,21.73,19.71,15.08,11.63,4.19,2.98
2014,3.02,4.26,8.14,11.18,12.67,18.84,18.22,16.47,15.86,12.64,7.34,2.58
2015,1.62,0.68,6.51,10.74,13.72,18.47,23.51,21.13,14.11,9.51,7.97,5.56
2016,1.99,3.64,4.51,9.31,12.76,16.98,20.4,19.81,17.89,8.91,5.08,2.56
2017,-1.7,4.13,8.52,9.34,14.91,20.29,20.34,20.52,13.36,11.96,4.62,1.14
2018,4.03,-1.62,3.94,13.12,15.46,18.99,21.97,21.5,17.92,12.53,6.37,2.97
2019,-0.5,4.6,7.56,10.06,11.01,20.18,21.75,20.28,16.46,12.53,5.15,4.27
2020,3.75,6.11,6.45,13.31,14.59,16.89,21.15,20.98,17.15,9.68,7.51,2.52
2021,-0.2,5.16,5.96,8.42,10.93,20.17,18.93,17.38,17.26,10.71,4.61,2.86
