year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,1.45,-1.88,6.80,7.54,9.67,13.75,19.38,18.37,15.49,8.61,4.11,0.69
1992,0.94,2.96,5.10,8.26,14.65,17.49,18.98,19.51,14.00,6.80,5.53,1.30
1993,2.32,-0.19,3.95,10.54,14.77,15.90,16.33,16.31,12.64,8.26,0.71,2.89
1994,2.72,0.07,6.53,8.32,12.67,16.06,21.48,18.33,13.71,8.13,7.06,3.39
1995,0.16,4.62,3.39,8.65,12.48,14.56,20.35,18.70,12.98,12.17,3.25,-1.88
1996,-1.78,-2.01,1.22,8.91,11.29,15.84,16.15,17.51,11.31,9.59,4.59,-2.07
1997,-2.26,4.14,6.04,6.72,12.77,16.02,17.36,20.05,14.51,8.13,4.21,2.07
1998,2.28,4.67,5.06,9.15,14.17,16.64,16.70,17.20,13.79,8.82,1.59,0.92
1999,2.51,0.50,5.63,9.24,13.84,15.45,19.20,17.63,17.19,9.40,3.68,1.95
2000,0.93,3.89,5.24,10.54,14.85,17.14,15.51,18.12,14.44,10.92,6.29,3.13
2001,0.82,2.31,4.37,7.37,14.37,14.48,18.67,18.95,12.15,12.85,4.01,-0.44
2002,1.29,5.11,5.74,8.31,13.85,17.48,17.98,19.07,13.73,8.49,5.56,0.18
2003,-0.42,-1.53,5.61,8.70,14.24,18.82,19.23,20.39,14.57,6.30,6.28,1.90
2004,-0.50,2.50,4.41,9.56,11.73,15.46,16.99,18.75,14.57,10.47,4.39,1.22
2005,1.81,-0.91,3.82,9.54,12.96,16.59,18.25,16.16,15.58,11.53,4.46,0.63
2006,-2.43,-0.15,1.83,8.42,13.22,17.07,21.66,15.91,17.40,12.51,7.34,4.43
2007,4.50,3.98,6.44,11.83,14.35,17.64,17.53,17.34,13.04,8.76,3.86,1.46
2008,3.49,4.04,4.40,8.06,14.75,17.25,18.30,17.80,13.01,9.50,5.26,1.02
2009,-1.81,0.73,4.52,12.05,13.91,15.18,18.43,19.26,15.26,8.49,7.53,0.18
2010,-3.63,-0.20,4.42,9.22,10.70,16.70,20.74,17.19,12.95,8.47,4.82,-3.54
2011,0.90,1.20,5.29,12.00,14.24,16.92,16.46,18.15,15.85,9.87,5.30,3.61
2012,1.72,-2.30,7.30,8.58,14.40,15.91,17.77,19.00,14.33,9.29,5.58,1.30
2013,0.04,-0.59,0.54,8.64,12.00,16.03,19.89,18.50,13.71,11.01,4.78,3.56
2014,2.00,4.54,7.40,11.19,12.63,16.58,19.61,16.41,15.42,12.18,6.92,2.46
2015,1.98,1.27,5.52,8.98,12.69,16.23,19.79,20.23,13.47,8.80,7.73,6.42
2016,0.90,3.41,4.30,8.48,13.91,17.32,18.97,18.23,17.38,8.64,4.14,2.48
2017,-1.73,3.11,7.55,7.94,14.39,18.23,18.38,18.45,13.22,11.38,5.15,2.33
2018,3.42,-1.64,2.61,12.27,16.16,18.03,20.67,20.29,15.77,11.24,5.60,3.53
2019,0.32,4.58,6.79,10.00,11.22,19.27,19.31,19.60,14.71,11.16,5.42,3.76
2020,3.64,5.33,5.46,10.99,12.31,17.27,18.11,20.49,15.59,10.35,6.77,3.02
2021,0.41,2.26,5.06,6.48,10.96,19.31,18.78,16.83,15.75,10.10,5.23,2.34
