year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,3.98,1.73,10.83,12.54,14.32,18.12,24.75,23.74,20.67,12.70,6.62,3.33
1992,3.41,5.96,8.90,12.87,20.35,22.80,24.22,24.78,18.68,10.26,8.21,3.47
1993,5.39,2.38,8.25,15.72,20.14,20.71,20.85,21.39,16.65,11.51,2.88,5.25
1994,5.03,3.12,10.02,12.87,17.55,21.02,27.39,23.29,17.48,12.28,9.62,5.76
1995,2.84,7.70,7.24,12.89,17.57,18.95,25.93,24.15,16.90,15.99,5.96,0.29
1996,0.37,1.14,4.91,14.44,15.54,20.80,21.06,22.48,15.34,13.31,6.98,0.31
1997,0.30,7.46,10.09,11.71,17.94,21.04,22.11,25.70,20.01,12.06,6.90,4.20
1998,5.00,8.22,9.01,13.44,19.48,21.41,21.12,22.40,17.54,11.78,3.91,3.39
1999,5.30,3.25,9.30,13.95,18.99,20.47,24.40,22.72,22.38,13.19,6.33,4.36
2000,3.45,7.08,8.67,15.72,20.43,22.49,19.71,23.38,18.74,14.25,9.07,5.48
2001,3.34,5.68,7.73,11.75,19.87,19.43,24.08,24.28,15.75,16.79,6.94,2.21
2002,4.14,8.41,10.17,13.14,18.63,22.64,22.78,23.96,18.37,12.29,8.16,2.38
2003,2.38,2.35,10.57,14.48,19.49,24.60,24.75,26.30,20.40,10.34,9.27,4.81
2004,2.01,5.63,8.63,14.92,16.73,20.55,22.00,23.88,19.55,14.35,7.05,3.50
2005,4.51,1.88,8.07,14.63,18.28,22.09,23.29,20.84,20.62,15.99,7.18,2.79
2006,0.40,2.53,5.58,12.98,18.30,22.71,27.84,20.28,22.59,16.81,10.51,7.06
2007,7.15,7.09,10.91,17.57,19.78,22.63,22.42,22.32,17.50,12.76,6.37,3.64
2008,6.28,7.84,8.16,12.72,20.50,22.74,23.70,22.78,17.46,13.39,8.08,3.15
2009,0.95,3.45,7.98,17.75,19.38,20.09,23.63,25.04,20.18,12.07,10.34,2.71
2010,-1.53,2.64,8.67,14.80,14.75,22.06,26.47,21.70,17.54,12.52,7.32,-0.94
2011,3.26,4.28,9.90,17.87,20.28,22.10,21.05,23.34,21.01,14.38,8.29,6.01
2012,4.16,1.06,12.12,13.51,20.04,20.93,22.72,24.68,19.52,13.27,8.20,3.78
2013,2.14,1.68,4.20,13.28,16.41,20.98,25.77,24.15,17.94,14.98,7.22,6.22
2014,4.51,8.33,12.23,16.42,17.55,22.02,24.80,21.19,19.90,15.86,9.52,4.67
2015,4.31,4.40,10.03,14.78,17.82,21.44,25.52,25.97,18.13,12.33,10.90,9.19
2016,3.50,6.47,8.10,13.32,19.14,22.18,24.06,23.80,22.79,12.03,7.10,5.15
2017,1.22,6.43,12.18,12.80,19.93,23.68,23.44,23.80,17.57,15.23,7.66,4.46
2018,5.90,1.20,6.50,17.98,22.08,23.35,26.68,26.11,21.56,16.20,8.47,5.72
2019,2.60,8.30,11.11,15.75,16.28,25.18,24.91,25.19,19.74,15.19,8.01,6.54
2020,6.61,8.80,9.99,16.98,18.21,22.35,23.74,26.14,21.01,13.80,9.95,5.10
2021,2.59,6.29,9.73,11.77,15.71,24.92,23.76,21.40,20.90,14.45,7.55,4.61
