year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,2.21,-0.91,4.55,6.75,9.29,11.88,17.55,16.89,13.77,9.05,5.23,3.21
1992,2.82,3.66,4.46,6.26,13.02,17.49,17.33,16.09,13.26,6.61,5.17,2.73
1993,2.22,1.54,3.23,7.84,13.15,13.74,14.34,14.13,11.16,7.55,2.18,2
1994,2.57,-1.43,3.4,7.56,11.05,13.06,19.4,17.07,12.79,8.15,6.57,4.05
1995,0.61,3.74,3.2,6.61,10.05,13.99,17.38,18.05,13.26,11.6,3.72,-1.35
1996,-2,-2.83,0.31,6.76,8.62,13.36,14.75,17.73,11.79,9.96,4.84,-0.77
1997,-1.21,2.87,3.82,5.86,9.77,15.1,17.74,19.58,13.85,7.98,4.27,2.19
1998,2.46,4.82,3.87,6.86,11.99,14.04,14.61,14.74,13.57,8.68,1.8,0.99
1999,2.04,1.11,3.81,7.92,10.66,13.87,17.48,16.63,16.1,9.5,5.69,2.13
2000,2.85,3.52,3.91,8.62,12.78,13.94,15.03,15.5,13.19,11.3,7.2,3.58
2001,1.59,0.51,1.4,5.97,11.53,12.99,17.74,17.03,12.68,12.16,5.37,0.38
2002,2.71,4.31,4.5,7.47,12.78,15.68,17.16,19.25,14.91,7.27,4.07,-0.49
2003,0.07,-1.31,3.47,7.21,11.49,15.96,18.1,17.89,14.21,6.7,6.45,3.55
2004,-0.53,2.05,3.74,8.26,11.33,13.6,15.28,17.98,13.96,9.64,5.24,3.7
2005,3.46,0.26,1.61,7.63,10.89,14.01,17.4,15.58,14.63,11.23,6.13,2.22
2006,-1.14,0.4,-0.18,6.29,11.43,15.18,19.58,17.15,16.33,12.49,7.96,6.63
2007,4.94,2.18,6.23,9.38,11.7,16.22,15.92,16.79,13.11,8.99,5.13,3.5
2008,3.98,4.55,3.86,7.67,12.97,15.29,17.7,16.7,13.3,10.01,5.97,2.46
2009,0.85,0.74,4.05,9.58,11.76,14.04,17.56,17.49,14.57,8.04,7.21,0.62
2010,-3.42,-2.03,2.82,7.31,9.49,14.17,19.03,16.54,12.98,8.88,3.22,-3.95
2011,0.53,-0.17,3.06,9.71,11.82,15.42,16.54,16.36,14.54,10.19,6.6,4.27
2012,2.26,-0.44,5.77,6.66,12.2,13.27,16.18,16.88,13.39,9.06,6.19,0.07
2013,0.24,-0.23,-0.54,6.1,12.18,14.6,17.72,17.24,13.42,11.04,6.13,5.09
2014,1.49,4.61,6.07,9.18,11.84,15.12,19.24,16.18,15.14,12.38,7.61,3.02
2015,2.96,1.92,4.81,7.32,9.93,13.3,16.3,17.66,13.45,9.36,7.6,6.78
2016,-0.03,2.59,3.82,6.75,12.99,15.95,16.83,16.22,16.3,8.92,4.21,4.39
2017,0.98,2.03,5.17,6.39,12.14,15.11,15.72,16.12,13.47,11.13,5.76,3.5
2018,2.68,-1.04,0.41,9.05,14.61,16.43,19.21,17.87,14.54,10.71,6.02,4.27
2019,1.63,4.43,5.44,8.59,10.08,16.71,16.92,17.74,13.68,9.89,5.76,4.63
2020,5.31,4.87,4.55,8.2,10.27,16.54,15.14,18.48,14.27,10.73,7.83,4.21
2021,0.72,0.62,4.26,5.55,10.08,16.77,18.43,15.8,14.79,10.75,6.81,1.88
