year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,4.45,1.38,7.18,10.55,13.35,15.27,21.83,20.79,17.55,12.17,7.38,5.63
1992,5.37,5.88,7.04,9.58,17.76,22.65,21.76,19.83,16.54,9.67,7.6,4.68
1993,4.65,3.72,6.16,11.91,17.95,17.98,17.76,17.76,14.13,10.37,3.96,3.99
1994,4.47,0.61,5.89,11.25,15.38,16.95,24.32,21.19,15.68,10.91,8.81,6.26
1995,2.96,5.88,5.84,10.32,14.35,17.87,21.91,23.04,16.4,14.4,6.54,1.15
1996,-0.28,-0.52,2.84,11.26,12.13,17.26,18.75,22.07,15.52,12.63,7,1.88
1997,1.48,4.98,6.85,9.47,13.71,19.48,22.1,24.36,17.49,11.22,6.3,4.05
1998,4.76,6.77,6.93,9.92,16.39,17.76,18.09,18.27,16.29,11.16,3.83,3.11
1999,4.13,3.64,6.18,11.74,14.97,17.75,21.91,20.96,19.7,12.25,8.24,4.51
2000,4.96,5.54,6.78,12.54,17.67,17.9,18.72,19.38,16.36,13.76,9.12,5.59
2001,3.39,3.18,4.32,9.56,16.3,17.02,22.19,21.08,15.64,14.52,8.19,2.79
2002,4.83,6.79,7.74,11.32,16.91,19.81,21.11,23.64,18.88,10.25,6.09,1.45
2003,2.47,1.33,6.83,11.57,15.54,20.4,22.19,22.29,18.14,10.25,8.57,5.97
2004,1.66,4.64,6.73,12.28,15.44,17.37,19.1,22.13,17.63,12.28,8.07,5.98
2005,5.48,2.46,4.92,11.9,15.04,18.19,21.4,19.35,18.57,14.67,8.52,4.37
2006,1.04,2.54,2.91,9.64,15.63,19.55,24.48,21.1,19.85,15.26,10.38,8.48
2007,7.34,4.03,9.49,14.01,15.85,20.42,19.45,20.47,16.23,12.14,7.66,5.39
2008,5.88,6.81,6.72,11.64,18,20.04,22.21,20.36,16.88,12.8,8.34,4.49
2009,2.91,2.89,6.7,14.16,16.32,18.5,21.77,21.74,18.29,10.98,9.07,2.67
2010,-1.31,0.08,5.88,11.29,13.26,18.53,23.47,20.38,16.51,12.03,5.37,-1.39
2011,2.64,2.05,6.06,14.3,16.39,19.86,19.91,20.04,17.98,13.36,8.75,6.49
2012,4.28,2.24,9.1,10.29,16.69,17.23,19.99,21.06,16.97,11.98,8.34,2.23
2013,2.29,1.66,2.61,10.09,16.2,18.75,22.16,21.73,16.85,13.95,8.57,7.3
2014,3.28,6.78,9.08,13.41,15.9,19.48,23.56,20.14,18.74,15.01,9.62,5.27
2015,4.97,4.12,7.67,11.73,14.38,17.84,20.29,22.01,16.76,12.03,10.03,8.94
2016,2.04,4.91,6.53,10.45,17.37,20.13,20.68,20.36,20.14,11.21,6.66,6.65
2017,3.13,4.14,8.28,10.25,16.43,19.39,19.48,20.06,16.54,13.72,8.17,5.5
2018,4.59,1.32,3.18,13.29,19.81,20.95,23.79,22.39,18.57,14.03,8.22,6.2
2019,3.91,6.93,8.18,13.2,14.44,21.64,20.95,21.98,17.17,12.59,7.69,6.73
2020,7.47,7.15,7.47,12.79,15.06,21,19.07,22.9,18.23,13.21,10.33,5.95
2021,2.65,3.26,7.54,9.59,13.92,21.33,22.38,19.58,18.18,13.62,8.97,4.02
