year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,-4.73,-8.15,-1.27,5.55,9.81,15.95,20.14,18.89,10.71,5.57,1.49,-1.78
1992,-2.54,-2.07,1,1.94,14.29,20.15,18.47,15.71,12.94,0.05,-3.44,-0.16
1993,-3.29,-3.13,0.13,4.77,14.76,14.12,19.62,15.93,8.37,3,-3.1,-5.41
1994,-7.79,-11.01,-1.48,6.64,10.89,16.65,22.53,18.76,11.69,4.52,-1.48,-1.42
1995,-3.87,-2.25,0.36,4.56,11.17,19.56,18.83,18.17,12.04,6.75,-3.04,-8.4
1996,-5.17,-9.32,-0.41,4.39,10.54,16.46,18.18,21.16,10.88,6.06,1.03,-6.43
1997,-5.06,-4.79,-0.33,2.6,10.11,19.65,22.53,21.02,12.49,2.91,-2.09,-4.33
1998,-4.67,-7.89,-2.78,4.16,11.36,16.57,19.95,15.64,11.96,5.38,-4.15,-4.57
1999,-9.2,-7.77,-0.83,6.99,10.18,21.09,20.98,17.08,13.77,6.15,1.18,-5.12
2000,-4.17,-3.7,-0.28,6.11,13.06,17.25,20.45,17.59,11.93,8.13,1.81,-2.49
2001,-3.26,-7.99,-3.46,6.48,11.03,18.55,21.92,18.2,13.4,5.99,-1.25,-8.03
2002,-6.03,-2.59,0.23,7.36,14.79,19.92,21.95,21.12,11.93,1.11,-5.01,-9.39
2003,-11.39,-3.93,0.81,4.53,13.25,16.44,24.11,17.83,13.13,4.26,0.57,-2.92
2004,-7.51,-5.46,-0.3,7.13,12.63,16.66,20.69,18.52,12.94,5.11,-1.28,-1.53
2005,-2.96,-5.41,-3.57,6.34,11.71,18.34,22.65,19.16,13.77,7.37,2.91,-4.88
2006,-5.29,-8.55,-4.62,6.09,13.84,19.39,21.38,21.14,13.8,5.27,-0.64,0.92
2007,-4.97,-10.95,3.42,6.64,12.54,18.52,19.86,19.61,11.81,7.03,-0.88,0.55
2008,-2.94,-1.86,-1.17,6.04,12.13,17.08,19.53,15.83,10.9,6.71,0.88,-0.89
2009,-5.58,-6.64,-1.09,5.36,14.74,17.06,20.03,19.35,14.14,2.99,0.97,-6.42
2010,-11.74,-9.56,-2.23,6.28,14.84,17.16,23.49,18.48,12.69,5.49,-3.82,-10.09
2011,-6.94,-11.31,0.18,7.81,13.12,20.43,22.86,18.62,13.71,7.13,2.87,0.4
2012,-7.08,-8.9,0.82,4.88,13.29,16.67,20.29,17.97,12.45,5.13,1.29,-9.25
2013,-5.64,-3.46,-4.26,5.2,16.32,21.01,20.79,20.15,13.84,6.11,1.57,-0.62
2014,-8.76,-0.78,2.44,6.67,13.18,16.5,23.68,19.69,13.84,4.53,0.11,-2.74
2015,-5.83,-1.71,2.73,5.8,12.89,16.68,18.29,19.82,14.27,5.79,1.81,-0.41
2016,-10.56,-2.15,1.06,6.4,16.75,18.16,21.51,17.88,13.24,4.93,-1.99,-2.03
2017,-4.18,-4.23,0.95,3.83,10.23,16.5,19.68,17.59,11.81,4.51,0.23,-2.64
2018,-4.85,-8.14,-3.09,6.38,17.47,17.72,24.78,19.82,14.12,6.12,2.01,-3.03
2019,-7.93,-3.27,0.04,8.2,12.72,19.68,19.37,17.99,12.57,3.77,-1.28,-0.77
2020,-1.34,-1.56,1.6,4.81,11.93,21.59,20.14,18.79,13.97,6.97,2.88,-1.78
2021,-7.2,-8.11,0.06,6.1,12.23,22.6,23.81,17.76,10.74,6.65,-0.35,-7.18
