year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,2.69,1.56,6.71,7.1,10.09,11.22,15.99,15.77,13.37,9.18,5.89,4.27
1992,3.4,4.82,6.29,7.55,12.06,14.46,14.94,14.13,12.07,6.95,6.39,3.2
1993,4.78,4.57,5.62,8.3,10.27,13.39,13.96,13.39,11.41,7.49,4.27,4.06
1994,4.05,2.64,6.09,6.93,9.56,12.97,16.01,14.55,11.76,9.21,8.94,5.38
1995,3.77,5.2,4.44,7.73,10.4,13.24,16.72,17.33,12.61,11.81,7.04,1.97
1996,4.04,2.31,3.88,7.52,8.26,13.12,14.89,15.2,12.73,10.52,4.99,2.59
1997,2.18,5.4,7.14,8.07,10.43,12.87,15.36,17.18,12.92,9.55,7.74,5.21
1998,4.43,6.46,6.84,6.82,11.65,12.85,14.24,14.65,13.49,9.29,5.41,4.86
1999,4.44,4.2,6.19,8.32,11.54,12.62,15.99,14.96,14.33,9.91,6.79,3.8
2000,4.17,5.05,6.38,6.82,11.02,13.17,14.33,15.29,13.5,9.35,5.98,4.66
2001,2.99,3.45,4.34,6.73,11.44,12.75,15.29,15.22,12.39,12.15,6.89,3.4
2002,5.18,5.57,6.43,8.16,10.83,13.37,14.47,15.52,13.22,8.94,7.62,4.75
2003,3.71,3.5,6.67,8.86,10.78,14.61,16.26,16.45,13.18,8.35,7.36,4.4
2004,4.36,4.24,5.68,8.47,10.9,14.05,14.54,16.09,13.58,9.43,7.04,4.92
2005,5.29,3.48,6.32,7.95,10.06,14.2,15.37,14.89,13.77,11.53,5.82,4.41
2006,3.8,3.52,4.08,7.36,10.71,14.43,17.39,15.04,15.02,11.77,7.31,5.5
2007,5.65,5.21,6.27,9.98,10.88,13.87,14.5,14.54,12.71,10.38,6.99,4.58
2008,5.18,4.94,5.23,7.21,12.24,13.22,15.44,15.29,12.52,8.8,6.29,3.34
2009,2.85,3.61,5.97,8.72,10.96,13.87,15.45,15.49,13.15,10.57,7.38,2.8
2010,1.13,1.88,5.08,7.86,9.76,14.22,15.78,14.41,12.96,9.68,4.61,0.17
2011,3.07,5.16,5.73,9.89,11.23,12.84,14.16,14.18,13.71,11.01,8.51,4.94
2012,4.68,4.18,7.6,6.51,10.52,12.5,14.16,15.55,12.18,8.6,5.81,4.17
2013,3.4,2.76,2.55,6.44,9.51,13.05,16.83,15.65,12.98,11.22,5.79,5.68
2014,4.75,5.03,6.62,9.21,11.19,14.27,16.47,14.23,13.96,11.06,7.6,4.46
2015,3.81,3.51,5.43,7.73,9.72,12.87,14.57,14.84,12.05,9.97,8.15,7.14
2016,4.64,3.77,5.39,6.59,11.3,14.03,15.4,15.62,14.4,9.82,5.16,5.84
2017,3.98,5.06,7.23,7.94,12.13,14.57,15.28,14.84,12.56,11.17,5.96,4.38
2018,4.22,2.22,3.83,8.45,12,14.84,16.99,15.42,12.47,9.73,7.17,6.04
2019,3.86,5.94,6.79,8.55,10.05,13.58,16.35,15.86,13.2,9.34,5.54,5.28
2020,5.55,5.07,5.68,8.99,11.36,14.05,14.51,15.95,13.06,9.53,7.78,4.51
2021,2.62,4.2,6.37,5.96,9.26,14.26,16.44,15.16,14.58,10.92,7.12,5.36
