year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,5.4,4.63,10.07,10.89,14.12,15.06,20,20.34,18.02,12.13,8.83,7.2
1992,6.21,8.03,9.35,11.21,17.02,19.31,18.86,18.02,15.48,10.27,9.64,5.95
1993,7.85,6.99,9.19,11.84,14.37,17.67,17.81,17.67,15.08,10.71,7.09,6.72
1994,6.81,5.34,9.26,10.73,13.59,17.27,20.8,18.58,15.16,12.74,11.47,8.34
1995,6.83,8.1,8.08,11.83,15.11,17.9,21.63,22.76,16.39,15.28,10,4.46
1996,6.01,5.34,6.57,11.52,12.52,18.01,19.57,19.59,16.68,13.81,8.12,5.01
1997,4.81,8.47,10.81,12.44,15.09,16.67,19.87,21.6,16.97,13.24,10.36,7.68
1998,7,9.49,9.98,10.27,16.05,16.56,17.9,18.94,16.93,12.27,8.34,7.68
1999,7.07,6.97,9.46,12.16,15.54,16.8,20.59,18.99,18.22,13.23,9.55,6.51
2000,6.91,8.03,9.77,10.49,15.48,17.18,18.23,19.62,17.01,12.52,8.72,6.86
2001,5.55,6.56,7.45,10.39,16.19,16.91,19.4,19.36,15.78,14.86,9.7,6.09
2002,7.66,8.32,9.93,12.46,14.74,17.27,18.39,19.4,17.19,12.04,10.01,6.74
2003,5.96,6.59,10.78,13.35,14.82,19.02,20.33,21.08,17.7,11.96,9.99,6.85
2004,6.52,6.9,9.07,12.11,15.38,18.24,18.64,19.91,17.2,12.31,9.43,7.27
2005,7.56,5.85,9.22,11.83,14.28,18.35,19.32,19.32,17.65,14.24,8.7,6.77
2006,6.01,5.96,6.93,11.26,14.83,19.11,22.6,18.82,18.8,14.75,10.17,7.77
2007,7.95,7.93,9.81,14.89,15.06,17.8,18.3,18.47,16.63,13.68,9.8,7.2
2008,7.63,8.44,8.44,11.14,16.88,17.55,19.56,18.63,16.19,12.21,8.65,5.91
2009,5.26,6.27,9.7,12.76,15.35,18.58,19.54,19.53,17.03,13.79,9.87,5.35
2010,3.55,4.7,8.71,12.5,14.38,19.13,19.89,18.57,16.75,13.05,7.19,2.9
2011,5.51,7.87,9.57,14.67,15.47,17.14,18.55,18.11,17.28,14.16,11.18,7.38
2012,7.16,6.8,11.62,10.41,15,16.1,17.99,19.59,16.08,11.82,8.46,6.69
2013,5.7,5.45,5.37,10.44,13.74,17.37,21.82,19.9,16.78,14.08,8.52,8.25
2014,7.2,7.58,10.31,13.06,15.09,18.64,21.18,18.25,18.2,14.26,10.25,6.91
2015,6.41,6.36,8.95,12.47,13.74,17.52,18.73,18.94,16.08,13.36,10.67,9.6
2016,7.16,6.69,8.88,10.63,15.81,18.02,19.47,19.86,18.07,13.27,8.08,8.41
2017,6.51,7.63,10.66,12.1,16.8,18.8,19.5,18.84,16.17,14.17,8.74,6.84
2018,6.57,5.15,6.92,12.1,17.07,19.8,22.02,19.56,16.6,13.24,9.71,8.22
2019,6.34,9.23,10.09,12.96,14.7,17.9,20.78,20.06,17.19,12.45,8.14,7.71
2020,7.86,7.84,9.23,13.82,16.58,18.32,18.59,20,17.28,12.5,10.33,6.78
2021,5,6.73,9.75,10.83,13.71,18.68,20.85,19.08,18.49,14.04,9.91,7.64
