year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,3.73,4.80,8.85,10.58,13.61,20.42,22.14,22.14,19.07,14.78,10.00,3.03
1992,3.66,3.62,7.09,11.43,15.23,19.72,21.77,24.11,18.66,16.65,10.27,4.42
1993,3.64,3.13,6.74,11.44,15.86,20.91,22.50,23.29,18.98,15.97,8.91,7.30
1994,6.24,5.64,8.75,12.54,17.00,20.30,23.51,24.40,21.86,15.99,8.91,5.21
1995,4.80,7.39,7.73,10.81,15.89,21.31,23.56,22.22,18.98,13.48,7.61,7.08
1996,4.30,4.77,5.41,10.30,17.22,21.20,22.67,22.87,17.79,13.03,10.46,6.90
1997,5.61,5.82,7.15,8.32,16.90,21.19,22.92,21.32,18.33,13.36,10.32,6.10
1998,5.26,6.88,5.98,12.62,15.96,21.62,24.26,24.70,19.22,15.47,9.93,4.93
1999,5.20,5.00,8.31,12.45,17.55,21.91,23.81,24.13,20.01,16.14,10.53,7.89
2000,2.47,5.60,7.66,13.31,17.68,21.74,24.09,23.91,19.54,14.57,12.08,7.13
2001,6.22,6.30,11.68,11.84,16.98,20.78,24.56,24.59,20.10,15.90,9.68,3.17
2002,3.49,8.03,9.41,11.44,17.03,21.87,24.35,22.97,18.76,14.69,11.07,5.52
2003,6.74,2.01,6.22,10.21,18.20,22.58,24.17,24.81,19.24,15.47,10.64,5.67
2004,3.73,5.61,8.51,12.09,15.50,20.71,23.59,22.89,19.91,16.30,10.30,7.10
2005,4.83,4.08,7.91,11.56,16.86,20.40,23.69,23.35,19.71,13.83,9.13,6.28
2006,2.66,5.09,8.23,12.62,16.91,20.81,23.41,24.11,19.50,14.93,8.48,5.56
2007,6.13,6.36,9.13,12.33,17.39,22.45,25.20,24.36,19.12,14.92,9.43,4.49
2008,4.17,5.29,10.13,12.71,16.77,22.13,24.02,24.65,19.18,14.86,11.12,6.71
2009,5.98,5.25,7.83,12.14,17.53,21.29,24.16,23.71,19.29,14.99,10.28,8.11
2010,5.33,7.20,8.88,12.89,17.15,20.87,24.06,25.32,19.99,14.09,13.29,7.63
2011,4.88,5.68,7.90,11.24,16.02,20.89,24.23,23.83,21.68,12.97,7.64,6.28
2012,2.61,3.71,8.51,13.02,16.99,22.62,25.26,25.03,20.79,17.24,12.05,5.62
2013,5.51,6.82,9.40,13.39,18.42,21.06,23.74,24.83,20.20,14.47,11.08,5.21
2014,7.00,7.85,9.48,12.35,16.26,20.72,23.12,24.05,19.68,14.59,10.70,7.33
2015,4.99,5.50,8.18,11.61,17.50,20.21,24.40,23.64,21.12,15.24,11.41,5.65
2016,5.36,9.58,9.47,14.62,16.38,22.18,24.52,24.21,19.97,15.17,10.50,3.61
2017,2.40,6.86,9.94,12.25,17.14,21.83,24.47,24.71,20.18,14.45,10.13,6.82
2018,5.76,7.02,10.26,15.02,18.75,21.39,23.86,24.41,20.78,15.69,11.04,5.52
2019,4.34,6.21,9.77,12.08,16.10,22.53,24.01,25.11,21.01,16.77,13.39,7.61
2020,4.75,7.30,9.61,11.82,17.25,20.34,24.38,24.61,21.85,16.38,10.59,8.39
2021,6.87,7.44,7.90,11.75,18.03,21.30,24.80,25.48,20.50,14.37,12.23,7.53
