year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,7.58,8.56,13.14,15.17,18.83,26.74,28.21,27.84,25.02,19.40,14.01,6.70
1992,7.87,8.30,11.85,16.72,20.79,25.64,27.93,30.79,24.77,21.81,14.89,8.09
1993,8.20,7.51,11.72,17.04,21.51,27.22,29.20,30.03,25.37,21.46,12.11,11.36
1994,9.83,9.31,13.73,17.79,23.18,26.69,29.78,30.98,28.47,20.59,13.04,9.34
1995,8.35,12.09,12.45,16.40,21.83,27.79,29.77,28.12,24.62,18.91,11.75,9.99
1996,7.10,7.97,8.90,15.36,23.05,27.54,29.06,28.90,23.09,17.53,15.05,10.31
1997,9.65,10.50,11.93,13.12,23.05,27.45,29.17,27.04,24.05,18.10,13.66,9.38
1998,9.03,11.59,10.54,18.10,20.98,27.77,31.01,30.93,24.65,20.57,13.83,8.27
1999,9.08,9.23,12.96,17.88,23.46,28.05,29.86,30.40,25.60,21.09,14.55,11.66
2000,6.57,9.79,12.95,18.54,23.69,28.07,30.83,30.54,25.45,19.18,16.65,11.09
2001,9.42,10.64,16.73,16.89,22.60,27.00,30.95,30.82,26.03,21.41,13.90,6.20
2002,7.63,12.81,14.01,16.05,22.75,27.89,30.48,28.64,23.96,19.53,15.19,8.38
2003,9.95,5.22,11.07,14.79,24.35,28.70,30.19,31.10,24.68,20.04,14.13,8.85
2004,7.20,10.01,12.78,16.65,20.98,26.46,29.74,28.94,25.66,21.31,14.42,10.45
2005,8.48,7.55,12.50,16.67,22.39,26.31,29.59,29.34,25.02,18.46,13.01,9.79
2006,6.13,8.95,12.59,17.52,22.85,26.81,29.13,30.25,24.85,19.20,13.04,9.45
2007,10.61,10.07,13.66,17.98,22.94,28.67,31.83,30.61,24.78,19.63,13.05,7.90
2008,7.90,9.64,14.77,17.59,22.80,28.31,30.20,31.08,24.50,19.72,15.11,9.78
2009,9.14,8.94,12.31,17.16,23.45,27.33,30.34,29.90,24.69,19.60,14.78,11.38
2010,8.29,10.99,13.46,18.16,23.06,26.78,29.98,31.51,25.44,18.35,17.51,10.97
2011,8.57,9.86,12.32,16.06,21.68,26.87,30.57,29.85,27.76,17.70,12.13,10.07
2012,6.46,7.32,13.65,18.29,22.69,29.07,31.76,31.61,26.81,22.37,15.99,9.17
2013,9.16,10.46,13.74,19.07,24.25,27.11,29.90,31.05,26.08,19.56,15.02,9.40
2014,10.50,11.78,14.11,17.16,21.97,26.70,29.28,30.16,24.89,19.05,14.28,10.64
2015,8.80,9.19,12.08,16.97,23.46,26.20,30.93,29.82,26.71,19.41,16.23,10.14
2016,9.34,13.88,13.91,20.39,21.93,28.32,30.62,30.27,25.49,19.82,14.77,7.80
2017,5.94,10.98,15.04,17.99,23.02,28.20,30.89,30.97,26.14,19.95,14.36,10.57
2018,9.68,10.47,14.72,21.00,24.29,27.19,29.76,30.31,26.42,20.35,14.80,9.15
2019,7.67,10.26,14.80,16.99,21.82,28.47,30.10,31.37,26.80,22.08,17.46,11.09
2020,9.09,11.81,14.29,17.24,23.37,26.42,30.51,30.91,27.58,21.62,15.07,11.67
2021,10.39,12.05,12.69,17.10,23.88,27.39,30.96,31.68,26.28,18.59,15.95,11.07
