year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,2.82,1.95,12.53,14.99,17.63,24.69,27.85,26.11,23.49,14.68,9.32,0.90
1992,3.06,6.18,11.13,17.25,22.26,25.58,28.39,31.47,23.00,15.09,9.37,2.55
1993,3.32,2.87,9.08,16.85,25.10,25.56,26.50,27.24,21.74,17.32,5.72,5.14
1994,5.39,5.54,13.46,16.91,21.83,25.61,30.16,28.68,25.23,14.92,9.97,4.11
1995,1.89,9.19,10.13,16.52,20.86,24.00,30.09,26.56,20.71,18.31,6.25,2.88
1996,0.63,1.80,6.90,17.47,23.03,26.43,25.60,26.05,17.86,16.56,11.57,1.10
1997,0.84,6.55,10.88,13.13,22.68,25.36,25.39,26.95,22.40,13.94,9.69,4.64
1998,5.10,9.51,9.33,17.88,21.33,26.17,27.07,27.57,20.92,16.30,6.59,0.10
1999,2.48,3.77,12.40,17.92,21.82,25.56,27.83,26.06,25.13,16.18,7.23,3.38
2000,0.62,7.15,10.78,20.39,24.64,27.69,26.10,29.75,22.01,19.62,13.02,5.35
2001,4.12,7.03,12.99,16.58,24.17,23.73,27.61,29.10,19.87,19.14,6.83,-0.83
2002,2.29,9.41,13.79,17.00,24.90,27.15,29.29,27.14,21.37,15.55,11.61,2.30
2003,0.61,1.07,10.88,16.62,26.19,29.02,28.49,30.85,23.12,13.52,11.21,4.08
2004,0.37,5.38,10.45,17.80,20.20,24.67,27.21,27.16,21.96,17.71,9.51,3.91
2005,2.73,1.50,9.27,17.54,22.58,25.19,27.18,24.88,23.58,17.37,8.49,3.19
2006,0.29,3.11,8.79,18.15,21.27,25.59,30.59,24.72,24.85,19.38,11.15,5.47
2007,7.40,8.74,14.06,19.61,23.24,27.86,30.18,28.40,20.66,15.70,7.32,1.73
2008,4.25,8.41,11.61,17.14,23.01,26.90,27.54,28.39,21.18,17.95,11.17,5.72
2009,1.54,4.84,10.44,21.15,23.68,24.99,29.18,28.84,25.57,15.94,10.91,4.56
2010,1.10,4.80,11.60,17.80,21.10,25.58,29.21,27.31,20.79,14.25,12.74,2.06
2011,2.60,3.53,12.35,19.74,23.41,26.50,26.94,29.26,26.60,16.34,7.38,5.43
2012,3.35,0.55,13.99,18.35,23.28,27.66,30.13,30.22,25.51,17.16,11.83,2.59
2013,2.80,5.49,8.81,18.66,22.21,25.81,29.83,29.67,21.17,18.68,11.43,4.81
2014,5.46,9.34,15.59,19.05,21.70,26.43,28.23,26.58,23.68,18.18,11.54,5.75
2015,4.68,6.30,12.75,17.87,22.30,26.63,30.74,30.68,23.85,15.91,11.51,5.90
2016,2.40,10.05,12.34,19.29,22.33,27.00,28.93,27.40,25.49,14.79,9.14,2.36
2017,-1.29,7.18,15.25,16.84,23.26,28.49,29.39,30.56,22.11,17.44,9.47,5.14
2018,5.78,3.46,9.05,22.66,25.91,26.72,28.54,30.75,25.18,20.16,11.54,3.80
2019,2.07,8.64,14.93,19.35,19.36,29.31,28.89,30.17,24.38,19.54,13.36,6.61
2020,3.41,9.70,12.85,18.58,20.69,25.58,28.04,29.53,25.28,17.33,9.23,6.17
2021,3.88,7.51,11.07,14.96,20.37,28.51,30.41,27.01,23.46,16.47,10.45,4.46
