year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,-1.96,-2.10,-1.25,-2.13,4.84,6.19,10.06,8.69,4.67,1.81,-3.09,-2.47
1992,-0.96,-3.91,-3.37,-0.84,3.26,6.27,7.43,7.06,4.39,1.19,-2.67,-3.88
1993,-6.18,-3.09,-2.16,0.31,2.45,5.51,6.24,6.86,6.13,1.24,0.80,-5.25
1994,-5.61,-2.64,-4.63,-1.76,4.02,5.28,9.61,8.50,4.01,0.00,-1.05,-4.36
1995,-5.35,-5.95,-5.36,-2.28,1.72,7.11,7.67,8.75,4.76,0.40,-1.75,-4.22
1996,-1.70,-4.30,-0.71,0.73,3.62,6.79,8.87,7.89,7.25,1.15,-5.86,-3.85
1997,-3.34,-4.99,-4.02,0.23,2.38,5.35,9.61,8.44,5.23,1.65,0.09,-1.38
1998,-3.06,-5.27,-5.14,-0.78,4.12,5.68,7.36,8.61,4.88,-0.48,-1.84,-2.46
1999,-3.54,-4.89,-5.37,-1.58,3.66,6.83,8.89,8.73,5.30,2.12,-1.58,-4.60
2000,-2.87,-4.62,-3.38,-2.09,3.99,6.30,9.50,8.75,6.01,1.73,-2.09,-3.23
2001,-1.77,-3.73,-4.70,-0.63,3.80,5.88,8.17,8.06,6.33,2.83,-1.91,-1.58
2002,-2.59,-6.94,-4.28,0.88,3.26,7.33,8.33,7.95,6.71,1.84,1.11,0.22
2003,-3.05,-1.20,0.07,2.66,3.09,7.95,9.47,10.60,5.66,1.51,-1.02,-3.41
2004,-4.13,-2.82,0.49,1.99,3.98,7.41,9.55,9.98,6.31,1.32,-1.90,-4.09
2005,-3.79,-2.61,-0.81,0.34,2.31,7.07,9.46,7.59,3.01,-0.43,-2.29,-1.47
2006,-1.78,-0.96,-3.22,-1.00,2.62,7.48,8.67,8.98,6.70,1.67,-2.81,-0.95
2007,-4.11,-3.75,-1.25,1.85,2.36,8.03,8.80,7.99,4.81,2.56,-1.36,-2.01
2008,-3.96,-3.54,-3.66,-0.65,5.09,7.09,9.84,8.80,6.86,-0.57,-1.41,-2.79
2009,-1.97,-4.25,-3.32,1.17,4.50,7.24,9.13,8.45,5.41,1.38,-0.73,-2.78
2010,-1.84,-4.20,-1.25,-1.03,4.44,8.31,9.42,9.08,7.13,2.62,-2.86,-3.38
2011,-2.32,-1.92,-3.37,1.80,3.16,5.32,9.11,7.89,5.85,1.75,0.56,-5.62
2012,-2.75,-1.07,-0.49,-0.13,3.03,6.84,9.59,9.03,4.14,0.54,-2.45,-2.71
2013,-1.07,-0.27,-3.32,-2.27,2.74,7.76,8.78,7.82,4.19,0.90,-1.80,-3.87
2014,-1.07,-2.31,-1.52,1.09,4.41,8.43,9.72,8.53,6.80,1.04,1.46,-3.83
2015,-3.64,-3.42,-2.19,-0.41,1.30,5.85,7.09,7.92,6.75,2.39,-1.47,-3.59
2016,-3.65,-4.46,-1.34,0.22,3.58,8.40,9.23,8.81,6.19,4.57,0.04,-0.07
2017,-2.15,-0.32,-1.81,-0.09,4.99,6.91,9.41,8.31,6.87,3.53,-2.99,-3.59
2018,-3.22,-1.10,-1.55,0.85,3.45,6.63,8.69,7.84,4.63,1.16,0.49,-1.30
2019,-2.96,-2.53,-2.77,3.13,3.42,7.08,10.01,8.04,6.04,1.93,-1.73,-2.59
2020,-2.06,-3.09,-3.01,1.04,3.55,7.33,8.23,8.48,4.29,2.30,-1.11,-2.16
2021,-3.62,-0.97,-1.21,-0.05,2.25,6.63,10.23,10.28,5.79,2.02,-1.28,-1.52
