year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,0.70,0.35,1.10,0.85,7.78,9.68,13.29,11.78,7.69,4.06,-0.82,0.51
1992,2.17,-0.63,-0.64,1.67,6.34,9.46,10.58,9.89,6.74,3.87,-0.30,-1.33
1993,-2.89,-0.16,0.54,3.02,5.42,8.51,9.16,9.95,8.84,3.85,3.32,-2.71
1994,-3.07,-0.29,-2.02,1.00,7.11,8.15,12.71,11.79,7.05,2.40,1.43,-1.72
1995,-2.68,-3.56,-2.52,0.31,4.51,10.32,11.06,11.90,7.66,2.45,0.57,-1.66
1996,0.73,-1.36,2.16,3.34,6.89,9.90,12.26,11.07,9.77,3.53,-3.13,-1.39
1997,-0.56,-2.32,-1.29,3.19,5.40,8.90,12.68,11.51,8.11,3.90,1.83,0.98
1998,-0.62,-2.00,-1.84,1.88,7.50,9.00,10.50,11.76,7.28,1.87,0.91,-0.10
1999,-1.05,-2.05,-2.77,1.54,6.63,10.06,12.17,11.72,7.89,4.46,1.09,-1.86
2000,0.01,-1.86,-0.54,1.13,7.03,9.96,12.77,12.04,9.17,4.05,0.15,-0.98
2001,0.37,-0.83,-1.93,2.42,6.98,9.34,11.30,11.03,9.15,5.14,1.45,1.40
2002,0.19,-4.01,-1.29,3.75,6.42,10.78,11.52,10.91,9.69,4.33,3.17,2.45
2003,-0.44,1.55,2.79,5.72,6.52,11.06,12.41,13.91,8.78,4.18,1.41,-0.32
2004,-1.47,0.20,3.08,4.86,6.99,10.79,12.94,13.70,9.35,3.83,1.10,-0.88
2005,-0.93,0.37,2.11,3.36,5.93,10.31,12.94,10.37,5.91,2.08,0.30,1.27
2006,1.23,1.81,-0.49,2.20,5.98,10.90,11.96,12.15,9.38,3.94,0.06,1.66
2007,-1.35,-1.40,1.47,5.06,5.59,11.53,12.12,11.09,7.65,5.26,1.63,1.11
2008,-1.18,-0.77,-0.92,2.38,8.08,10.42,13.33,12.01,9.57,2.03,1.33,0.14
2009,0.42,-1.54,-0.65,3.79,7.70,10.51,12.46,11.44,8.36,3.80,1.14,-0.21
2010,0.78,-1.68,1.21,2.06,7.75,11.73,12.62,12.09,9.88,4.97,-0.35,-0.31
2011,0.34,0.65,-0.39,4.87,6.16,8.53,12.34,10.96,8.58,4.13,2.79,-2.70
2012,-0.05,1.66,2.29,2.86,6.61,10.44,13.30,12.07,6.93,3.16,-0.06,-0.38
2013,1.32,1.96,-0.56,0.88,5.70,10.90,12.03,10.84,6.91,3.00,1.26,-1.12
2014,0.82,-0.50,1.14,4.02,7.34,11.43,12.58,11.74,9.60,3.45,3.57,-0.73
2015,-0.82,-0.55,0.49,2.53,4.24,9.05,10.02,10.92,9.52,4.86,1.11,-0.77
2016,-1.29,-1.85,1.37,3.40,6.73,11.61,12.41,12.09,9.08,6.89,2.32,2.64
2017,0.67,2.07,0.96,3.08,8.21,10.25,12.63,11.53,9.62,5.86,-0.28,-1.10
2018,-0.38,1.97,1.18,3.92,6.48,9.65,11.78,10.97,7.79,3.67,2.70,0.94
2019,0.12,0.30,0.15,5.83,6.66,10.79,13.72,11.26,8.98,4.29,0.55,-0.07
2020,0.81,-0.78,-0.19,4.24,6.92,10.98,11.55,11.48,7.01,4.53,1.45,0.47
2021,-1.03,1.45,1.54,2.99,5.81,9.74,13.23,12.96,8.37,4.38,1.67,1.09
