year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,12.10,12.90,16.16,19.72,21.13,23.81,24.94,25.13,23.83,22.19,17.71,11.70
1992,9.83,10.27,12.82,17.24,20.23,23.53,24.60,25.84,23.81,22.30,17.26,11.68
1993,10.63,10.47,14.10,18.51,20.48,24.26,25.65,26.49,24.25,23.50,17.12,14.84
1994,14.15,12.99,14.45,20.58,22.24,23.72,25.38,25.65,25.88,24.15,16.26,11.64
1995,12.51,12.98,15.19,17.37,21.53,24.94,25.96,26.36,24.93,21.19,15.70,13.32
1996,12.87,14.15,14.41,17.25,22.92,23.95,26.86,26.52,25.10,21.04,18.51,15.54
1997,13.56,10.95,12.85,17.03,22.36,24.42,26.38,25.01,23.65,21.74,18.08,14.52
1998,12.69,13.56,14.06,20.08,21.75,24.46,26.83,28.10,25.49,22.66,19.45,15.45
1999,13.31,13.59,15.64,18.17,22.59,24.20,26.06,26.90,24.76,22.04,18.02,14.54
2000,11.49,11.89,13.63,19.38,20.82,24.25,27.19,26.36,24.38,20.49,17.18,14.21
2001,13.27,13.32,18.04,19.35,21.66,24.32,26.52,26.92,24.70,21.77,17.31,14.30
2002,11.17,14.73,16.93,17.87,20.57,23.74,27.15,26.59,25.13,22.76,18.51,14.37
2003,14.35,12.13,13.48,18.42,23.66,24.28,26.02,26.85,24.29,22.42,18.24,14.08
2004,12.94,13.19,16.74,18.36,21.32,23.57,26.54,25.72,24.40,22.85,17.96,13.09
2005,13.18,12.81,15.89,18.97,20.71,23.40,26.24,26.52,24.37,20.91,16.61,15.78
2006,12.55,13.95,15.93,18.43,21.02,24.48,25.41,26.85,24.80,21.72,16.02,12.62
2007,12.07,13.53,14.99,17.35,22.54,24.45,26.49,26.41,24.44,22.78,18.06,13.85
2008,10.10,12.24,18.68,20.31,20.85,25.23,26.43,26.99,25.34,21.26,18.34,15.03
2009,13.13,14.07,14.80,18.98,21.47,25.55,26.61,26.72,24.45,23.73,17.44,15.80
2010,15.23,15.89,18.31,19.91,22.33,25.03,26.70,28.04,26.24,24.20,20.36,15.86
2011,13.95,14.22,15.44,18.38,21.27,23.98,27.40,26.66,25.15,21.62,14.85,13.72
2012,11.84,12.40,13.97,20.24,22.63,25.52,27.93,27.46,25.91,23.58,19.52,15.14
2013,13.53,15.21,17.89,18.81,23.29,24.51,25.83,26.55,24.58,20.61,19.73,13.24
2014,13.86,14.37,16.85,20.33,22.20,24.33,26.13,27.10,24.73,21.51,17.51,15.87
2015,12.46,13.47,16.97,17.96,22.69,23.26,26.56,27.75,26.75,23.43,18.70,13.05
2016,12.17,15.55,17.18,21.37,22.27,26.02,26.92,27.51,25.15,22.87,18.32,12.48
2017,11.96,12.24,16.01,19.27,22.30,25.09,27.63,27.43,25.66,21.55,17.77,16.33
2018,13.45,15.98,18.76,19.90,23.63,25.19,26.83,26.77,25.84,22.63,18.15,14.49
2019,12.22,13.48,14.74,17.58,23.60,25.80,26.92,26.95,25.51,23.42,19.60,14.77
2020,12.16,13.41,16.02,18.47,21.71,23.40,26.98,27.11,27.07,24.44,18.27,15.57
2021,14.50,14.85,15.77,19.90,23.85,24.16,27.36,27.74,25.00,22.48,19.63,14.79
