year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,4.37,3.39,9.65,9.41,12.02,18.13,22.14,22.41,19.68,13.05,8.52,3.38
1992,4.18,4.87,7.52,10.62,15.96,18.03,21.25,23.49,18.50,13.41,10.00,5.81
1993,4.63,3.95,6.30,10.92,16.14,19.70,20.67,22.56,17.85,13.85,7.94,6.27
1994,5.78,5.17,9.56,10.17,15.55,19.04,23.56,23.75,19.02,13.74,10.52,6.40
1995,3.97,6.88,6.61,10.28,14.63,17.74,23.24,21.11,16.62,14.57,8.21,6.25
1996,5.64,3.83,6.14,10.93,15.16,19.46,20.83,21.13,15.67,13.06,9.74,5.57
1997,5.59,6.26,8.80,9.21,15.69,19.36,20.98,21.78,19.18,13.77,9.51,6.20
1998,5.44,7.04,7.12,11.01,15.54,20.10,22.51,22.74,18.00,13.70,7.34,4.17
1999,4.72,3.55,7.98,11.12,16.60,19.48,22.19,22.76,19.86,14.73,8.38,5.25
2000,3.00,5.60,7.87,12.12,17.14,20.47,20.91,22.81,18.66,14.42,10.33,6.88
2001,5.88,6.03,9.90,10.13,16.65,18.84,22.31,23.24,16.65,16.31,8.43,3.15
2002,3.79,7.06,9.39,11.17,15.75,20.83,22.00,21.39,17.30,13.82,10.99,6.76
2003,4.54,2.67,7.89,10.68,17.23,22.05,23.74,24.60,18.38,12.95,10.48,5.94
2004,3.92,5.41,7.25,11.04,13.85,19.13,21.93,22.23,18.62,15.61,9.02,6.53
2005,3.51,2.56,7.04,10.72,16.11,20.29,22.47,20.87,18.77,14.47,8.73,4.05
2006,3.02,4.46,6.85,11.57,15.80,19.89,24.12,20.40,19.56,15.72,10.17,6.87
2007,6.81,7.44,8.59,13.26,16.57,20.41,22.43,21.83,17.40,13.46,8.11,4.85
2008,6.02,6.14,7.85,11.10,16.35,20.03,22.32,22.55,17.71,14.58,9.43,5.48
2009,4.31,4.26,7.50,12.34,17.24,19.43,22.64,23.54,19.45,13.50,10.09,5.59
2010,3.53,5.23,7.51,11.74,14.75,19.45,23.58,21.92,17.69,13.18,9.82,4.46
2011,4.60,5.52,8.13,12.73,16.30,19.77,21.49,22.95,20.69,13.78,10.20,6.49
2012,4.43,1.98,9.55,11.38,15.52,20.93,23.10,23.86,19.17,14.96,11.09,5.09
2013,4.88,3.58,7.38,12.11,14.60,18.78,23.13,23.12,18.71,15.51,9.46,6.28
2014,6.65,7.41,9.35,12.17,14.68,19.97,21.42,21.30,19.00,15.56,11.83,6.61
2015,5.32,5.03,8.43,11.44,16.28,20.37,24.71,23.41,18.60,14.02,10.49,7.10
2016,5.57,7.57,8.07,12.55,15.07,19.63,22.88,22.26,19.66,13.84,9.80,6.26
2017,2.52,7.20,9.99,11.48,16.38,21.65,23.17,23.86,17.41,14.24,8.66,4.78
2018,6.91,4.27,7.60,13.67,16.91,20.34,23.31,23.56,20.07,15.46,10.57,6.19
2019,3.93,6.66,9.21,11.51,13.24,21.50,23.60,23.52,19.55,15.68,10.33,7.65
2020,6.04,7.89,8.32,12.45,16.26,19.05,22.57,23.42,19.68,13.40,10.55,6.41
2021,5.12,7.28,7.62,9.99,14.50,21.50,23.09,22.69,20.09,13.76,9.81,6.22
