year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,7.80,7.17,13.42,13.80,16.36,22.92,27.19,27.33,24.04,16.62,11.84,6.97
1992,7.52,8.74,11.58,14.72,20.69,22.41,25.99,28.56,23.16,16.68,13.41,8.75
1993,8.19,8.17,10.59,15.24,20.82,24.58,25.73,27.65,22.14,17.34,10.88,9.46
1994,9.05,8.59,14.02,14.23,20.09,23.78,28.59,28.79,23.22,17.57,13.68,9.48
1995,7.51,10.68,10.76,14.59,19.10,22.30,28.20,25.56,20.71,18.88,11.70,8.94
1996,8.57,7.18,9.86,15.15,19.53,24.23,25.84,25.75,19.73,16.60,12.95,8.52
1997,8.70,10.34,13.34,13.76,20.53,23.91,25.95,26.45,23.74,17.47,12.54,9.14
1998,8.73,11.29,11.49,15.14,20.00,24.97,27.61,27.63,22.16,17.40,10.73,7.54
1999,8.29,7.45,11.98,15.33,20.98,24.30,26.95,27.40,24.20,18.56,11.60,8.36
2000,6.59,9.44,11.97,16.28,21.69,25.43,25.88,27.88,23.13,17.83,13.47,9.87
2001,8.69,9.73,13.60,14.43,21.09,23.93,27.24,28.23,20.90,20.30,11.79,6.42
2002,7.60,10.59,13.62,15.36,20.17,25.79,26.82,25.81,21.31,17.62,14.07,9.25
2003,7.57,6.44,12.43,15.08,22.25,27.19,28.92,29.71,22.85,16.58,13.69,9.28
2004,7.01,8.99,11.07,15.03,18.20,23.77,27.05,27.09,23.18,19.08,12.47,9.63
2005,7.05,6.01,11.27,14.90,20.75,25.12,27.47,25.49,23.02,18.10,12.02,7.11
2006,6.13,7.92,10.66,15.87,20.50,25.11,29.26,24.86,23.84,19.66,13.83,10.07
2007,10.16,11.02,12.45,17.81,21.10,25.19,27.69,26.60,21.81,17.27,11.25,7.76
2008,9.15,9.95,11.58,14.97,20.70,24.56,27.12,27.52,21.91,18.37,12.52,8.01
2009,7.18,7.59,11.25,16.31,22.04,23.99,27.56,28.30,23.59,17.02,13.42,8.39
2010,6.29,8.44,11.17,16.03,18.68,24.00,28.43,26.51,21.94,16.65,12.75,7.43
2011,7.75,9.05,12.02,17.32,21.18,24.24,26.28,28.09,25.35,17.86,13.60,9.66
2012,7.84,5.55,14.12,15.41,20.27,26.05,28.15,29.04,23.51,18.71,14.19,8.20
2013,7.88,6.98,10.93,16.39,18.69,23.53,28.28,28.14,23.04,19.18,12.54,9.76
2014,9.65,10.87,13.50,16.48,19.11,25.00,26.08,25.85,23.29,19.44,14.92,9.59
2015,8.76,8.35,12.23,16.04,20.79,25.17,29.92,28.30,22.96,17.48,14.13,10.52
2016,8.67,10.97,11.94,17.01,19.48,24.20,27.89,27.10,24.08,17.63,12.93,9.70
2017,5.85,10.75,14.25,15.92,21.03,26.55,28.25,28.98,21.58,18.41,11.88,7.96
2018,10.20,7.45,11.30,18.32,21.22,25.00,28.30,28.38,24.75,19.28,13.71,9.38
2019,7.13,10.50,13.82,15.63,17.27,26.64,28.55,28.43,23.94,19.49,13.08,10.69
2020,9.72,11.98,12.54,17.11,20.84,23.43,27.51,28.18,24.14,17.22,14.23,9.25
2021,7.87,11.09,11.89,14.51,18.93,26.56,28.00,27.47,24.64,17.60,12.89,9.33
