year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,4.18,4.07,8.12,15.07,19.15,23.44,25.8,26.13,23.87,17.91,11.95,7.31
1992,4.83,4.82,8.35,14.66,17.9,21.39,25.9,26.65,23.12,17.68,12.38,7.18
1993,4.55,5.54,7.71,13.52,18.32,21.01,23.39,24.82,22.31,17.2,12.9,6.53
1994,3.49,4.52,6.82,15.18,20.31,22.55,28.16,29.77,24.96,19.32,13.21,6.83
1995,3.58,4.6,8.04,14.31,19.07,20.8,26.29,28.53,23.26,19.19,11.84,5.66
1996,3.9,3.63,7.36,12.58,18.12,21.94,25.93,26.86,23.05,18.12,11.84,7.06
1997,4.15,4.88,9.12,14.66,19.05,22.38,26.33,26.84,22.7,17.97,13.65,7.27
1998,2.95,5.45,9.39,16.3,20.64,21.75,26.07,27.02,24.59,19.5,12.3,7.37
1999,4.26,4.6,8.66,14.35,19.97,23.08,25.88,28.55,25.44,19.08,12.9,6.57
2000,4.99,3.3,7.94,13.87,19.66,22.47,27.6,28.69,24.44,18.34,12.24,6.43
2001,2.35,3.89,8.18,15.67,19.66,22.77,27.57,27.07,23.25,18.48,12.24,5.21
2002,4.7,5.98,10.52,16.17,19.18,22.42,26.72,27.31,23.87,18.21,9.87,5.21
2003,3.28,4.58,7.63,14.93,19.63,22.66,23.25,26.15,24.09,17.97,13.65,7.08
2004,3.82,6.39,8.89,15.71,19.97,24.06,27.91,27.72,24.5,18.13,14.11,7.85
2005,3.67,3.38,7.56,15.13,18.29,23.75,25.61,28.17,24.8,19.08,12.59,3.79
2006,2.98,4.87,8.11,12.83,19.22,22.17,25.32,28.76,23.78,19.14,13.19,6.79
2007,5.11,6.84,8.91,13.78,19.53,23.36,24.7,28.95,25.4,18.93,12.08,6.86
2008,3.42,3.61,9.66,14.98,19.26,21.87,27.23,27.19,24.34,19.13,12.05,7.96
2009,4.63,6.04,9,15.24,20.22,22.87,25.24,26.59,23.68,18.65,12.32,6.52
2010,4.4,5.1,7.85,12.71,18.65,23.62,27.19,29.85,25.48,18.65,12.67,7.48
2011,1.94,5.92,7.11,14.33,18.56,22.98,27.32,28.07,24.86,18.81,13.67,5.42
2012,2.68,2.76,7.6,14.44,19.32,22.05,26.74,29,25.46,19.26,11.49,4.96
2013,2.87,3.85,9.8,14.04,19.24,23.1,27.47,29.05,24.77,19.32,12.3,6.26
2014,4.06,4.17,8.54,14.93,20.35,23.26,26.95,26.97,23.67,18.56,13.14,5.01
2015,4.26,5.04,9.55,15.39,21.47,22.32,26.44,27.28,23.05,18.51,13.23,7.99
2016,4.03,5.43,9.69,15.52,21.24,22.68,26.5,28.97,24.38,18.74,11.34,7.6
2017,4.19,5.15,8.03,15.23,20.77,22.2,27.93,27.45,23.81,17.49,11.74,5.14
2018,3.25,3.59,10.62,16.28,20.05,23.05,28.05,28.43,23.59,19.04,13.42,6.86
2019,4.48,5.65,9.71,14.58,21.68,22.9,25.76,28.1,25.54,19.69,12.99,7.67
2020,5.69,6.31,10.37,13.66,20.27,24.04,24.86,29.51,24.83,18.43,13.67,6.14
2021,3.68,6.89,11.33,15.47,19.51,23.7,27.8,27.5,24.09,19.29,13.6,6.99
