year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,-1.92,-0.97,4.64,11.37,15.8,21.68,23.69,22.9,19.94,13.13,6.11,2.18
1992,-0.19,0.57,6.14,11.52,15.19,20,24.84,23.57,19.83,12.76,6.05,1.54
1993,-1.94,1.1,4.85,10.58,15.97,20.22,21.56,21.59,19.46,12.52,7.63,0.05
1994,-1.61,0.22,3.67,12.86,16.78,20.79,27.09,26.72,20.41,14.13,8.7,1.6
1995,-2.04,0.73,5.37,10.99,15.72,19.73,24.3,26.07,19.01,14.35,5.92,-0.84
1996,-1.9,-1.31,4.2,9.93,16.23,20.58,23.73,24.72,20.09,13.71,6.29,1.09
1997,-2.47,0.67,6.17,11.85,16.45,21.88,24.57,24.88,19.2,13.22,8.02,1.3
1998,-1.71,2.44,6.62,13.66,17.48,20.21,24.07,24.84,21.32,15.52,7.14,2.17
1999,-0.92,0.79,5.84,11.88,16.75,21.52,23.45,23.92,21.34,13.65,7.06,0.5
2000,-1.57,-1.37,5.76,11.33,16.33,21.35,25.56,25.19,19.06,13.92,6.49,1.13
2001,-3.15,0.34,5.18,12.45,17.51,21.56,25.58,25.16,20.39,15,6.61,-0.28
2002,-0.14,2.15,7.5,12.85,16.22,21.3,24.11,23.4,19.56,12.59,3.98,0.98
2003,-2.71,1.59,5.3,11.98,16.41,20.92,22,23.32,20.03,13.11,8.57,0.73
2004,-1.96,2.2,5.82,12.39,16.56,21.57,24.77,24.42,20.03,13.58,8.13,1.98
2005,-2.61,-1.69,3.92,12.29,16.15,22.1,24.47,24.77,20.64,13.77,7.62,-3.46
2006,-1.02,0.03,5.01,10.42,15.95,20.62,22.84,25.99,19.1,15.79,7.79,1.09
2007,-0.09,3.35,6,11.09,16.8,21.19,22.97,25.63,20.26,14.13,6.55,1.76
2008,-1.35,-0.85,6.27,12.3,16.46,19.94,25.34,23.93,20.56,14.98,7.05,1.07
2009,-1.92,3.11,5.94,11.84,17.29,21.41,23.13,23.75,19.98,14.71,6.37,-0.17
2010,-2.78,1.23,4.42,9.29,16.05,21.76,24.92,26.17,21.04,13.73,6.31,-0.21
2011,-5.84,1.06,3.78,10.46,16.01,21.27,24.44,24.46,20.29,13.38,9.42,-0.73
2012,-2.51,-1.69,4.72,11.82,17.31,21.58,24.99,25.78,19.51,13.88,5.33,-2.74
2013,-2.99,-0.43,5.71,9.86,16.73,21.88,25.97,26.91,20.58,14.7,6.05,0.06
2014,-0.78,1.01,6.63,12.48,17.62,21.39,24.78,23.29,20.27,14.17,7.86,-1.87
2015,-0.87,0.91,5.69,11.86,17.65,21.21,23.95,24.89,19.93,14.26,8.47,2.16
2016,-2.29,0.61,6.38,12.9,17.88,22.03,25.1,26.37,20.75,14.76,6.8,1.87
2017,-1.18,0.68,5.62,13.19,18.2,21.48,26.32,25.31,20.37,14.37,6.02,-1.51
2018,-3.41,-1.17,7.14,12.7,16.87,22,26.58,26.54,19.97,12.67,7.49,0.16
2019,-0.7,1.55,6.92,11.38,18.34,21.15,24.64,25.9,20.93,14.96,7.69,1.71
2020,1.17,2.5,7.14,10.52,16.87,22.66,22.27,26.2,19.7,13.55,7.85,-0.27
2021,-1.89,2.71,8.07,12.85,16.5,21.95,26.04,24.96,20.92,14.77,7.9,1.1
