year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,1.57,-1.38,7.69,7.75,10.22,13.34,19.41,19.08,15.95,9.07,4.24,1.37
1992,0.87,3.26,5.91,8.42,15.02,16.58,18.67,18.85,14.05,7.2,6.35,2.47
1993,3.64,0.14,5.21,10.92,14.38,16.64,16.87,16.42,12.99,8.31,1.1,4.27
1994,3.17,1.62,7.49,7.95,12.61,16.51,21.74,18.08,13.46,9.01,8.57,4.7
1995,1.77,5.46,4.19,8.82,13.01,14.78,20.74,19.18,12.95,12.67,4.67,-0.17
1996,-0.73,-0.21,2.82,9.29,10.91,16.25,16.71,17.22,11.96,10.01,4.54,-0.73
1997,-2.6,4.99,7.59,7.65,13.01,15.78,17.31,20.42,14.65,8.97,4.98,3.44
1998,2.67,4.23,6.45,8.45,14.71,16.41,16.61,17.58,14.22,9.28,2.2,2.57
1999,3.37,1.56,6.45,9.35,14.42,15.57,19.47,17.72,17.19,9.61,4.04,3.07
2000,2.04,4.56,6.11,9.82,14.62,17.05,15.37,18.21,15.28,10.61,6.48,4.47
2001,1.81,3.66,5.82,7.51,14.88,15.23,18.77,19.01,12.28,13.21,4.39,1.15
2002,1.5,5.95,6.61,9.01,13.12,17.51,17.67,18.21,13.87,9.7,7.17,3.17
2003,0.4,0.44,7.42,9.52,13.91,18.71,19.47,20.16,14.97,7.2,6.58,2.76
2004,1.39,3.42,5.11,9.94,12.21,16.07,17.3,18.61,15.28,10.81,4.77,1.09
2005,2.53,0.38,5.62,9.82,13.02,17.74,18.37,16.22,15.98,12.51,4.77,1.86
2006,-0.9,0.95,3.31,8.52,13.62,17.25,21.97,15.7,17.58,13.01,7.57,4.37
2007,5.2,5.16,6.8,12.51,14.51,17.44,17.17,16.91,13.37,9.51,4.76,2.06
2008,4.1,4.25,5.11,8.11,15.71,16.65,18.07,17.41,12.98,9.51,5.38,1.27
2009,-1.7,1.86,5.31,11.93,14.32,16.04,18.37,19.18,15.29,9.74,8.04,1.64
2010,-1.9,1.23,5.32,9.59,10.81,17.21,20.34,16.85,13.22,9.14,5.31,-1.97
2011,1.87,3.29,6.61,12.32,14.71,16.67,16.07,17.68,16.12,10.51,6.04,4.74
2012,3.1,-1.37,8.05,8.12,14.46,15.61,17.38,19.27,14.18,9.81,5.64,3.57
2013,0.77,-0.07,1.95,8.56,11.02,15.91,20.24,18.32,14.32,11.71,4.9,4.06
2014,4.07,5.06,7.99,11.62,12.98,17.05,19.18,15.95,15.62,12.67,7.14,3.54
2015,2.17,1.72,5.88,9.59,12.98,16.61,19.88,19.61,13.29,9.21,8.11,6.99
2016,3,3.92,4.65,8.22,13.74,16.55,18.85,18.38,17.49,9.21,4.74,2.57
2017,-1.1,4.46,8.48,8.42,14.94,18.91,18.88,18.08,13.48,11.81,5.37,3.27
2018,4.64,-0.51,4.02,12.22,16.05,18.04,21.38,19.75,15.52,11.67,5.84,4.47
2019,1.24,5.22,7.52,10.15,11.55,19.05,19.74,19.18,14.85,11.34,5.24,4.47
2020,3.9,5.96,6.35,11.98,13.45,17.21,18.41,20.72,16.12,10.51,6.97,4.23
2021,1.34,3.69,5.95,6.75,10.85,18.91,17.87,16.82,15.95,10.31,4.77,4.17
