year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,4.08,2.49,11.86,13.08,15.46,17.69,24.95,25.25,21.52,12.84,6.94,4.33
1992,3.25,6.57,9.89,13.22,20.96,21.53,23.94,24.03,19.02,10.58,9.15,5.13
1993,6.78,2.55,10.18,16.02,19.62,21.88,21.84,22.09,17.06,11.18,3.5,7.14
1994,5.64,4.83,11.16,12.52,17.25,21.91,27.67,23.06,17.37,13.48,10.98,7.56
1995,4.48,8.56,8.26,13.03,18.38,19.42,26.61,24.49,17.06,16.55,7.67,2.49
1996,1.41,2.7,6.99,15.06,15.32,21.69,22.08,22.19,16.57,13.98,6.78,1.93
1997,-0.12,8.46,11.76,13.02,18.35,20.52,22.37,26.03,20.53,13.14,7.85,6
1998,5.34,8.54,10.49,12.52,20.06,21.35,21.24,23.35,17.99,12.25,4.9,5.24
1999,6.14,4.46,10.22,14.02,19.56,20.81,24.87,22.83,22.16,13.48,6.68,5.83
2000,4.51,8.16,9.81,14.86,19.76,22.79,19.77,23.61,19.69,13.92,9.21,7.2
2001,4.58,7.06,9.12,11.78,20.42,20.58,24.31,24.46,16.25,17.29,7.43,4.28
2002,4.37,9.39,11.28,14.14,18.06,23.06,22.61,22.88,18.55,13.58,9.85,5.83
2003,3.07,4.45,12.78,15.29,19.14,24.65,25.3,26.2,21.19,11.28,9.77,5.99
2004,3.9,6.72,9.48,15.11,17.55,21.48,22.64,23.59,20.25,14.72,7.29,3.76
2005,5.21,3.19,9.89,14.63,18.46,23.69,23.61,21.22,21.06,16.95,7.67,4.45
2006,1.81,3.56,7.08,13.23,18.66,23.2,28.41,19.88,22.85,17.18,10.97,7.63
2007,7.7,8.66,11.27,18.44,19.86,22.48,22.21,21.79,18.25,13.65,7.47,4.86
2008,7.07,8.52,8.88,12.78,21.55,22,23.74,22.38,17.75,13.58,8.19,3.93
2009,1.17,5.06,9.28,17.49,19.86,21.27,23.74,25.05,20.26,13.6,11.12,4.7
2010,0.2,4.33,9.69,15.39,15.15,22.56,26.11,21.42,18.09,13.22,7.91,0.8
2011,4.25,6.49,11.51,18.49,21.05,21.91,21.2,23.05,21.39,14.98,9.23,7.71
2012,5.51,2.23,13.21,12.89,20.06,20.71,22.35,25.03,19.46,13.6,8.25,6.53
2013,2.78,2.63,5.52,13.26,15.45,21.05,26.28,23.89,18.8,15.49,7.31,7.41
2014,6.58,8.77,13.18,16.79,18.11,22.59,24.23,20.53,20.53,16.64,9.84,6.2
2015,4.67,4.97,10.46,15.4,18.21,22.05,25.75,25.26,18.17,12.83,11.38,10.25
2016,5.61,7.13,8.63,13.02,18.99,21.29,24.22,24.06,22.97,12.92,7.76,5.79
2017,1.77,8.06,13.22,13.55,20.68,24.59,24.22,23.35,18.09,15.98,8.08,5.96
2018,7.21,2.34,8.09,17.89,21.83,23.48,27.71,25.52,21.56,16.59,8.85,7.13
2019,3.45,8.9,11.99,15.76,16.79,24.95,25.59,24.76,20.03,15.39,7.95,7.73
2020,6.88,9.83,10.92,17.99,19.5,22.55,24.29,26.4,21.6,14.15,10.31,6.9
2021,3.55,7.87,10.65,12.16,15.69,24.45,22.95,21.39,21.34,14.78,7.31,6.96
