year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,5.72,2.99,12.5,13.14,14.37,16.42,23.57,23.54,20.35,13.76,8.44,6.5
1992,5.42,8.09,10.34,12.88,20.6,21.88,23.19,22.62,18.63,11.28,10.34,6.18
1993,7.63,4.48,10.17,15.51,19.21,20.39,20.49,20.21,16.61,11.98,4.82,7.47
1994,7.33,4.67,10.76,12.69,16.76,19.8,26.6,22.59,17.12,13.33,12.21,8.48
1995,6.2,9.27,9.16,12.87,17.97,18.59,25.28,25.14,17.7,17.02,9.5,2.14
1996,1.96,2.77,6.66,14.51,14.67,20.03,20.99,22.55,16.69,14.49,8.29,3.02
1997,1.79,8.85,11.51,12.4,17.29,20.21,21.88,25.94,19.59,13.77,9,7.24
1998,7.23,9.75,11.04,12.67,19.55,20.02,20.13,21.91,18.12,12.56,6.5,6.69
1999,7.71,5.84,10.89,14.04,19.03,19.93,24.31,22.5,21.95,14.16,9.31,7.2
2000,6.58,8.88,10.12,14.57,19.5,20.88,19.01,22.72,19.28,14.58,10.48,7.73
2001,5.43,7.41,8.37,11.96,19.35,19.41,23.34,23.79,16.51,17.41,9.89,5.69
2002,6.64,10,11.45,13.82,17.78,21.16,21.72,23.42,19.01,13.29,10.63,5.25
2003,4.99,5.26,12.1,15.12,18.29,23.41,24.07,25.63,20.4,11.7,10.86,7.25
2004,5.57,7.54,10.03,15.1,16.97,19.95,21.29,23.55,19.69,14.83,9.25,5.96
2005,7.3,4.68,9.89,14.77,17.54,21.67,22.28,20.79,20.73,17.2,9.59,6.27
2006,3.8,4.74,7.24,12.9,18.58,21.69,26.84,20.49,22.55,17.46,12.44,9.18
2007,9.42,8.82,12.24,17.66,18.78,21.4,21.17,21.72,18.05,13.93,9.57,6.39
2008,8.67,9.05,9.46,13.02,20.92,21.27,22.9,21.85,18.02,13.94,9.64,5.15
2009,3.4,5.79,9.98,17.32,18.95,20.08,22.93,24.45,20.02,14,12.14,5.14
2010,1.47,4.2,10.08,14.65,14.73,21.67,25.38,21.29,17.91,14.29,8.44,1.62
2011,5.56,6.99,10.92,18.21,19.86,21.07,20.13,21.78,20.59,15.66,10.52,8.76
2012,7.04,3.73,12.96,12.64,19.11,19.01,21.61,24.02,19.07,14.16,9.77,7.33
2013,4.18,3.77,5.6,12.74,15.64,19.61,24.64,23.65,18.47,15.88,9.28,8.83
2014,7.74,9.79,13.36,16.58,17.77,20.85,24.47,20.91,20.52,16.91,11.07,7.35
2015,6.29,6.37,10.55,14.49,17.26,20.51,23.37,24.16,17.8,13.41,12.68,11.84
2016,6.86,7.56,9.22,12.85,19.24,20.68,22.85,23.4,22.75,13.38,8.97,7.83
2017,4.21,7.98,13.08,13.1,19.96,22.77,22.57,22.48,18,16.43,9.92,7.15
2018,7.81,3.53,8.17,17.1,21.91,22.16,26.58,24.68,20.72,16.85,9.97,8.49
2019,5.61,10.01,11.92,15.91,16.53,23.81,23.98,24.53,19.48,15.25,9.27,8.85
2020,8.64,10.11,11.11,17.03,18.83,22.13,22.13,26.04,20.84,14.62,12.01,7.89
2021,5.19,7.68,11,11.64,15.59,23.1,22.54,21.27,20.88,15.56,9.76,7.7
