year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,20.39,20.62,18.78,14.98,12.49,8.77,8.84,11.34,12.79,14.63,15.23,18.05
1992,20.47,20.1,17.53,13.83,10.63,9,9.34,8.98,10.81,13.43,16.91,17.59
1993,19.57,19.35,17.46,14.48,12.49,10.58,9.66,10.08,11.36,15.52,15.7,17.75
1994,21.3,21.43,18.04,16.29,12.8,9,8.87,10.63,11.5,13.94,16.57,19.47
1995,20.66,21.21,19.23,16.7,13.16,9.26,8.07,10.13,12.36,14.13,16.25,19.94
1996,21.14,21.15,18.2,16.33,12.49,9.39,8.68,10.02,13.92,15.27,16.09,18.77
1997,19.52,20.9,18.15,15.3,13.2,10.01,9.21,10.47,11.87,15.01,17.05,19.05
1998,21.41,23.33,20.39,16.66,13.07,10.43,10.75,10.45,13.38,15.63,17.11,19.52
1999,22.22,22.28,20.53,16.29,14.44,10.81,9.94,10.77,13.32,15.63,17.15,18.32
2000,19.84,20.81,18.56,16.13,13.26,10.67,10.75,10.64,13,15.23,15.66,20.11
2001,19.75,21.28,19.2,16.34,12.85,10.41,8.88,11.2,13.65,15.87,16.94,19.5
2002,20.58,20,19.44,15.51,12.91,10.95,9.51,11.05,13.64,14.37,16.2,19.02
2003,20.53,20.75,19.9,15.7,13.53,11.69,9.01,10.74,12.92,14.58,16.52,19.35
2004,21.48,19.48,17.54,14.6,12.73,10.88,8.95,9.45,12.08,14.28,17.13,16.69
2005,20.5,22.06,19.18,15.82,13.19,9.6,10.1,11.61,13.47,15.02,17.29,20.7
2006,20.9,20.86,17.82,16.95,12.42,9.11,9.61,10.44,13.69,14.74,16.57,17.15
2007,20.21,20.72,20.05,15.41,14.05,9.66,9.33,10.89,13.08,14.66,16.63,19.57
2008,21.96,21.4,19.51,16.48,11.94,10.71,9.54,9.99,13.11,14.77,16.99,19.26
2009,21.63,20.53,18.68,16.13,11.22,9,8.84,11.73,13.21,13.51,16.49,18.69
2010,20.33,21.73,19.47,16.66,12.68,10.07,9.53,11.13,12.93,14.92,17.86,20.38
2011,21.07,21.26,19.38,15.58,14.04,10.62,9.46,10.52,12.28,15.17,16.58,19.47
2012,20.26,20.01,18.18,16.94,12.56,9.64,10.17,11.3,13.23,14.61,16.23,19.99
2013,21.35,21.11,20.01,16.76,12.98,10.02,10.31,11.89,13.23,15.3,18.08,19.81
2014,19.64,20.91,18.75,16.75,13.31,11.85,9.35,10.61,13.41,14.98,16.07,19.58
2015,22.05,20.62,19.77,16.52,12.74,10.14,8.82,10.26,12.08,14.98,16.86,18.82
2016,21.36,23.22,20.28,16.43,14.57,11.61,9.87,10.28,13.66,15.67,17.4,18.66
2017,19.62,21.08,19.84,16.7,12.99,10.58,9.7,11.97,13.29,15.78,17.73,21.2
2018,23.05,22.22,20.21,15.57,13.27,10.29,10.2,11.19,12.83,15,17.54,20.62
2019,21.98,21.35,20.73,16.21,13.82,9.85,10.65,10.32,12.68,14.67,18.11,19.33
2020,20.97,21.53,18.56,15.87,13.21,11.82,9.83,11.44,13.1,15.93,18.3,19.21
2021,20.74,21.05,19.21,16.51,13.41,12.11,10.28,11.14,12.7,16.07,18.78,21.7
