year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,12.36,12.29,15.41,17.85,22.85,26.78,29.77,30.7,27.3,19.17,15.91,13.78
1992,12.11,15.06,18.28,19.78,23.71,22.27,29.79,29.48,26.04,18.46,17.27,13.79
1993,13.22,14.64,16.78,17.3,19.16,25.16,29.76,28.63,23.23,17.35,14.96,13.31
1994,12.76,13.7,19.26,18.24,20.59,26.81,29.22,28.93,24.56,21.07,17.89,14.34
1995,13.75,15.18,18.06,20.84,23.2,25.63,28.99,29.57,23.79,23.61,17.39,13.89
1996,12.45,12.43,15.91,19.22,20.42,27.8,29.08,27.11,24.04,21.33,16.35,13.23
1997,11.98,15.96,20.63,21.52,20.98,23.43,27.21,28.15,27.31,22.8,15.97,13.49
1998,13.44,16.27,19.56,16.33,20.35,26,28.98,30.14,25.28,21.15,17.07,13.67
1999,13.17,14.61,16.57,19.43,21.72,26.44,29.43,28.64,24.92,20.06,15.95,13.38
2000,12,17.07,18.64,15.62,21.57,27.49,28.16,28.99,26.85,20.66,14.88,13.98
2001,13.02,15.08,16.81,19.36,21.53,27.67,27.59,28.8,25.71,21.46,15.49,12.04
2002,13.98,15.76,17.13,18.97,20.44,25.56,28.06,27.49,24.39,20.99,15.89,14.52
2003,13.05,12.97,17.59,18.43,23.7,28.04,28.86,30.86,27.25,19.63,16.16,13.13
2004,14.01,14.37,15.78,18.58,20.64,28.63,29.72,28.51,27.31,20.98,15.86,13.4
2005,13.88,13.06,16.87,19.27,23.25,28.59,29.4,30.13,26.87,21.64,15.41,13.45
2006,12.12,13.45,16.26,19.7,24.19,27.04,30.57,29.64,27.28,21.99,17.55,13.91
2007,13.18,14.8,16.66,18.8,21.68,24.55,28.57,28.13,26.53,22.31,17.73,13.66
2008,14.58,16.02,16.87,19.86,19.92,26.74,28.64,29.11,25.18,20.96,15.03,12.28
2009,11.95,14.19,18.54,17.79,23.08,27.04,29.14,30.51,27.34,23.72,17.17,13.54
2010,12.01,12.89,15.26,19.3,21.54,25.53,30.65,31.29,27.36,21.96,15.78,13.26
2011,13.02,14.76,15.79,20.87,23.63,27.11,28.67,29.46,27.77,24.33,16.96,14.38
2012,13.79,13.03,19.04,16.63,23.71,27.89,29.34,30.43,27.04,21.5,16.34,14
2013,13.49,13.57,15.3,18.84,20.44,26.05,30.36,30.78,27.86,22.84,16.87,14.43
2014,14,14,17.72,20.73,23.26,27.09,28.58,29.73,27.27,24.56,17.06,14.25
2015,13.58,13.25,17.61,20.24,24.46,28.45,31.02,29.68,26.01,22.05,19.42,16.57
2016,14.88,15.07,16.35,18.26,21.62,27.51,30.31,30.88,28.48,23.14,16.49,14.43
2017,13.89,15.71,18.37,20.78,24.39,28.99,29.85,30.83,27.14,24.5,17.51,14.35
2018,14.15,14.13,15.21,18.64,22.03,25.74,28.3,31.21,29.08,22.3,16.09,15.47
2019,14.23,16.13,19.08,19.02,23.6,26.52,29.78,30.25,27.35,22.62,16.17,14.83
2020,13.77,17.62,17.9,18.88,24.46,26.25,31.11,29.86,27.49,21.14,18.13,14.01
2021,13.05,15.66,16.65,19.04,22.43,26.2,29.58,30.05,27.49,23.32,16.31,15.35
