year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,-0.47,-0.37,5.52,10.19,12.92,18.82,21.96,22.08,17.96,13.59,7.06,-0.35
1992,-3.14,-3.05,2.37,9.39,13.2,17.6,19.97,22,16.91,14.31,5.74,-0.81
1993,-2.04,-1.33,3.84,9.31,13.09,18.29,21.61,22.07,18.23,13.92,4.04,2.98
1994,2.3,1.05,5.33,11.83,15.27,18.55,22.09,22.14,20.88,14.92,5.93,-0.38
1995,0.85,2.99,5.55,9.02,15.45,19.77,21.31,22.15,18.25,11.69,4.57,1.54
1996,0.04,2.3,3.56,8.33,16.15,18.78,22.98,22.23,17.42,11.68,7.68,4.98
1997,1.19,-0.38,2.1,7.33,15.65,18.9,21.79,20.75,16.28,12.78,7.06,2.56
1998,-0.11,0.73,3.46,11.45,14.65,19.77,23.06,23.81,18.69,14.03,9.1,3.25
1999,2.08,2.53,5.42,10.57,15.65,19.43,22.98,23.21,18.43,13.81,6.86,3.87
2000,-2.11,-0.02,3.36,11.68,14.62,19.38,24.22,22.54,18.7,12.33,7.9,2.52
2001,1.32,2.79,9.28,11.04,14.02,19.87,23.81,23.51,19.7,13.28,6.28,2.09
2002,-2.51,3.39,6.74,9.07,14.41,19.34,23.08,21.86,18.55,13.89,7.9,-1.19
2003,2.56,-0.8,2.26,8.85,16.34,19.66,22.45,23.16,17.9,14.37,6.84,1.78
2004,-0.02,1.26,6.1,9.79,14.11,18.89,22.11,22.17,18.77,14.4,6.88,0.85
2005,0.75,0.67,4.98,10.56,15.01,18.48,23.23,23.37,18.45,11.87,6.17,3.24
2006,-1.61,1.07,6.1,11.14,15.02,20.27,22.09,24.41,18.53,13.62,5.7,0.42
2007,-0.59,1.45,5.49,8.21,16.73,20.53,23.54,23.58,19.5,14.56,6.64,1.11
2008,-3.4,-0.76,8.37,12.51,14.21,19.95,23.06,24.12,19.03,13.47,8.26,1.32
2009,0.35,3,4.82,9.53,14.74,19.91,22.35,21.68,17.56,14.96,7.36,4.78
2010,2.52,4.39,7.25,10.62,15.75,19.81,23.34,24.55,20.52,13.39,10.08,5.1
2011,1.13,1.66,5.1,9.17,13.76,18.73,23.34,22.51,19.4,11.82,3.4,1.72
2012,-0.79,-1.69,3.02,12.03,15.4,20.86,23.64,23.02,20,15.36,9.19,3.07
2013,1.16,3.78,6.75,11.42,16.81,19.74,22.08,22.82,18.33,11.57,8.32,-0.77
2014,1.83,3.72,7.2,11.43,15.04,18.98,23.1,23.99,18.8,13.23,6.78,4.78
2015,0.45,2.44,5.65,9.03,15.02,18.37,22.76,22.02,21.07,14.23,8.25,0.81
2016,0.05,5.33,7.01,12.82,14.63,20.22,23.07,23.95,18.41,13.71,6.47,-0.86
2017,-1.94,0.66,6.44,10,14.68,19.65,23.82,23.63,20.91,12.97,7.17,4.12
2018,2.14,4.86,8.85,12.85,16.15,19.7,23.26,23.36,19.86,14.52,8.15,3.11
2019,1.09,2.88,5.7,9.26,16.3,20.73,22.03,23.11,19.24,15.7,8.95,3.95
2020,0.68,2.45,7.43,10.15,15.25,19.25,23.62,22.95,21.59,16.34,7.5,4.24
2021,2.4,3.68,4.86,11.55,17.16,19.36,23.81,23.83,18.63,13.31,9.16,3.2
