year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,3.45,3.7,10.05,15.36,18.72,25.43,28.88,28.98,25.22,19.5,11.84,2.91
1992,0.77,0.9,6.97,15.29,19.2,23.71,26.74,29.34,23.99,21.17,10.71,2.52
1993,1.98,2.7,9,14.79,18.5,24.98,28.82,29.28,25.86,21.1,8.49,7
1994,6.17,5.08,10.33,17.9,21.58,25.35,29.11,29.44,28.47,20.9,10.17,3.07
1995,4.6,7.87,10.59,14.26,21.75,26.51,27.97,29.27,25.08,17.81,9.24,5.34
1996,3.27,6.38,7.4,13.31,22.3,25.5,30,29.13,23.9,17.23,13.58,8.47
1997,5.61,4.51,7.13,12.43,22.13,25.46,28.73,27.54,23.1,18.1,12.33,6.27
1998,3.93,5.84,8.2,17.22,20.18,26.31,30.31,31.28,25.73,20.89,13.97,6.83
1999,6.29,7.22,10.58,16.41,22.42,25.86,29.85,30.35,25.7,19.93,12.2,8.6
2000,1.94,4.6,8.98,17.2,20.87,26.26,31.88,29.59,25.81,18.15,14.02,6.8
2001,5.78,7.69,15.04,16.75,19.94,27.07,31.09,30.67,27.11,19.94,11.05,5.46
2002,1.9,8.85,12.1,13.84,20.86,25.93,30.14,28.62,25.36,20.19,13.58,2.62
2003,6.34,2.76,6.81,14.07,23.1,26.7,29.59,30.65,24.75,20.54,11.82,5.57
2004,3.85,5.78,11.73,15.76,20.11,25.63,29.44,29.37,26.5,21,11.8,5.06
2005,5.08,5.06,9.92,16.3,21.24,25.19,30.41,30.55,25.32,17.71,10.75,7.7
2006,2.27,5.47,11.25,16.57,21.3,27.25,28.84,32.06,25.38,18.9,11.03,5.21
2007,4.33,6.23,10.65,13.72,23.24,27.54,30.98,30.83,27.08,20.87,11.24,5.07
2008,1.38,4.35,14.01,18.53,20.71,26.89,30.51,31.43,25.79,19.37,13.47,5.52
2009,4.61,6.74,9.44,15.23,21.2,27.02,29.23,29.14,24.23,21.63,12.35,8.69
2010,6.3,8.57,12.54,16.41,22.27,26.45,30.34,32.16,27.77,18.45,16.42,9.63
2011,5.04,6.12,10.31,14,19.39,25.4,30.69,29.7,26.65,17.86,8.27,6.28
2012,2.96,3.1,8.1,18.41,21.41,27.91,30.73,30.19,27.17,21.59,13.78,6.82
2013,5.09,8.24,12.04,17.37,22.75,26.75,29,30.11,25.45,18.36,13.73,3.51
2014,6.39,9.06,12.71,17.63,21.21,25.76,30.32,31.41,25.45,18.77,11.52,8.31
2015,4.5,6.63,10.44,14.73,21.51,24.98,29.9,29.39,28.45,19.65,14.06,5.21
2016,4.14,10.48,12.46,19.67,20.65,27.03,30.26,31.24,25.41,20.23,12.55,3.04
2017,2.16,5.84,11.78,16.24,20.83,26.48,31.37,30.86,28.77,19.34,12.36,8.67
2018,6.1,9.65,14.19,19.51,22.22,26.45,30.39,30.54,26.92,20.65,12.79,6.43
2019,4.89,7.43,11.02,14.59,23.07,27.35,29.1,30.22,26.37,22.3,15,7.75
2020,4.84,6.88,12.63,16.06,21.88,26.15,30.78,30.46,28.91,23.36,12.81,8.55
2021,6.9,8.97,9.93,17.46,24.25,26.09,30.85,31.03,25.4,19.66,14.51,7.34
