year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,2.86,-0.4,8.47,8.24,10.29,13.18,19.06,18.97,16.12,10.06,5.37,3.09
1992,2.32,4.37,6.78,8.66,15.2,16.77,18.61,18.53,14.44,7.89,7.46,3.81
1993,4.85,1.56,6.01,11.06,14.33,16.54,16.73,16.29,13.35,9.01,2.37,5.28
1994,4.55,2.33,7.76,8.37,12.64,16.14,21.51,18.17,13.7,9.78,9.79,5.75
1995,3.41,6.4,5.27,8.96,13.15,14.9,20.67,19.93,13.8,13.3,6.38,0.75
1996,0.67,0.71,3.6,9.45,10.82,16.15,16.89,17.6,12.72,10.81,5.58,0.72
1997,-1.17,5.81,8.22,8.08,12.98,15.93,17.56,20.87,15.04,9.92,6.55,4.85
1998,4.08,5.5,7.34,8.81,14.88,16.24,16.56,17.59,14.87,9.92,3.5,4.23
1999,4.83,2.94,7.29,9.74,14.5,15.58,19.54,18.08,17.63,10.53,5.73,4.48
2000,3.55,5.55,6.82,9.96,14.7,16.76,15.51,18.3,15.78,11.26,7.57,5.65
2001,3,4.52,6.05,7.93,14.64,15.33,18.83,19.12,12.91,14.03,6.13,2.67
2002,3.44,6.81,7.39,9.35,13.22,17.16,17.71,18.59,14.53,10.19,8.17,4.03
2003,1.88,1.73,8.05,9.93,13.76,18.51,19.47,20.19,15.24,7.9,7.79,4.26
2004,2.94,4.41,5.95,10.27,12.34,16.07,17.33,18.98,15.69,11.45,6.14,2.78
2005,4.23,1.73,6.38,10.16,13.01,17.59,18.34,16.62,16.39,13.54,6.14,3.46
2006,0.92,2.09,4.01,8.85,13.89,17.19,21.52,16.23,18.06,13.78,8.79,5.88
2007,6.57,6.17,7.6,12.34,14.38,17.37,17.18,17.19,13.95,10.2,6.21,3.65
2008,5.65,5.27,5.89,8.56,15.55,16.55,18.24,17.85,13.69,10.16,6.62,2.59
2009,0.03,2.83,6.04,11.87,14.08,15.95,18.4,19.33,15.62,10.83,9.25,3
2010,-0.64,1.95,6.08,9.77,10.93,17.05,20.31,17.14,13.88,10.24,5.99,-0.78
2011,3.2,4.42,7.08,12.63,14.63,16.63,16.17,17.62,16.3,11.54,7.56,6.11
2012,4.55,0.14,8.56,8.27,14.31,15.37,17.39,19.27,14.47,10.65,6.7,4.93
2013,1.87,1.12,2.66,8.47,11.13,15.57,19.99,18.59,14.74,12.4,6.21,5.62
2014,5.4,6.07,8.61,11.82,13.19,16.72,19.41,16.33,16.21,13.29,8.26,4.82
2015,3.53,3.04,6.48,9.58,12.72,16.27,19.32,19.43,13.64,10.02,9.42,8.75
2016,4.37,4.68,5.39,8.49,14.05,16.52,18.71,18.54,17.76,9.98,5.86,4.38
2017,0.83,5.23,9.02,8.68,14.99,18.6,18.73,18.07,13.97,12.79,6.71,4.66
2018,5.58,0.58,4.69,12.38,16.12,17.85,21.32,19.59,15.59,12.36,6.91,5.89
2019,2.82,6.28,8.14,10.59,11.7,18.72,19.57,19.3,15.13,11.79,6.31,5.88
2020,5.46,6.81,7.05,11.89,13.5,17.38,18.02,20.94,16.22,11.25,8.37,5.55
2021,2.75,4.45,6.71,6.95,11.06,18.61,18.02,17.15,16.35,11.29,6.46,5.45
