year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,5.38,5.49,9.54,10.19,14.01,19.3,23.17,24.11,20.56,12.63,8.98,6.5
1992,4.35,6.53,9.51,11.65,16.38,16.57,22.62,23.17,18.86,12.52,10.36,7.29
1993,5.49,6.36,8.95,10.7,14.26,19.27,22.2,22.57,17.47,11.9,8.39,7.11
1994,5.9,6.91,10.97,10.51,15.13,19.82,23.61,23.33,17.69,14.64,11.09,7.6
1995,6.57,8.44,9.62,12.12,16.26,19.22,23.32,23.02,17.31,16.3,10.99,7.99
1996,7.52,5.92,8.98,12.01,14.41,20.51,22.72,21.43,17.52,13.94,9.56,7.05
1997,5.99,8.93,11.54,13.47,15.41,18.33,21.5,22.8,20.41,16.29,10.3,7.27
1998,7.17,8.62,10.97,10.59,14.87,19.71,22.94,23.58,19.33,13.72,9.24,5.67
1999,6.13,6.42,9.57,12.09,16.26,19.7,23.31,22.9,19.34,14.59,8.27,6.5
2000,4.51,8.98,10.23,10.54,16.02,20.53,21.96,22.6,19.6,13.78,9.04,8.22
2001,7.34,7.74,11.27,11.87,15.33,20.71,22.12,23.08,18.76,15.97,7.96,4.62
2002,6.91,8.18,10.19,11.73,14.29,19.89,21.96,21.32,18.59,14.82,10.14,8.52
2003,5.87,6.15,10.51,11.94,16.07,21.88,23.46,24.36,20.06,13.8,10.18,6.87
2004,7.36,6.99,8.54,10.96,14.21,21.36,23.02,22.91,20.17,15.23,8.55,6.48
2005,4.98,4.61,9.05,11.93,16.38,21.67,23.4,22.75,19.11,15.31,8.62,5.7
2006,5.07,5.82,10.08,12.73,16.7,20.47,24.61,22.31,20.27,16.24,11.62,6.59
2007,6.5,8.8,9.37,12.08,15.5,19.06,22.27,21.96,19.18,14.37,8.85,6.34
2008,7.5,8.77,9.55,12.21,14.57,19.59,22.5,22.71,18.67,13.87,8.09,5.71
2009,5.44,6.78,10.08,10.95,16.4,20.78,23.13,23.88,19.85,16.08,11.25,6.83
2010,5.54,6.43,8.52,12.4,14.68,19.28,24.09,23.52,19.57,13.95,8.96,6.01
2011,6.1,7.3,9.15,13.89,16.71,19.75,22.23,23.28,20.59,15.88,10.73,7.1
2012,6.1,4.78,9.98,10.54,16.43,20.86,22.66,23.84,19.74,14.79,9.82,7.22
2013,6.74,6.28,9.29,11.15,13.51,18.65,23.79,23.23,20.21,16.18,9.21,6.4
2014,7.76,7.55,9.89,13.35,15.54,19.99,22.18,22.59,20.72,17.05,11.09,6.63
2015,6.04,6.32,9.76,12.66,16.72,21.1,24.48,23.2,18.73,14.79,11.11,8.69
2016,8.19,8.04,8.77,11.34,14.95,20.09,23.6,23.62,20.65,15.57,9.7,7.49
2017,5.45,8.68,10.47,12.93,16.97,21.62,23.42,23.43,19.37,16.55,9.6,6.52
2018,7.34,5.72,8.92,12.09,15.09,19.77,23.16,24.26,21.28,14.69,9.88,7.94
2019,5.99,8.09,10.41,11.41,15.61,19.88,23.96,23.42,20.16,15.49,9.76,8.33
2020,6.62,9.58,10.1,12.54,17.56,19.28,24.43,23.48,20.03,13.94,10.86,7.21
2021,5.79,9.27,9.46,11.6,15.45,20.12,22.96,23.27,20.34,15.27,8.69,8.37
