year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,9.72,10,14.01,15.89,20.42,26.04,30.44,31.36,26.73,17.75,13.76,10.52
1992,8.85,12.19,15.21,17.64,22.55,22.35,29.78,30.17,25.21,17.11,15.17,10.98
1993,10.44,11.16,14.44,16.21,19.67,25.55,29.33,29.43,23.22,16.38,12.64,11.2
1994,10.39,11.74,17.04,16.28,20.85,26.63,30.81,30.2,23.76,19.32,15.62,11.8
1995,11.22,13.62,15.54,18.42,22.43,25.55,30.37,29.8,23.27,22.01,15.33,11.45
1996,10.86,10.24,13.98,17.46,20.06,27.29,29.77,27.94,23.39,19.52,14.06,10.52
1997,9.49,14.24,18.1,19.34,21.04,24.22,28.17,29.43,26.66,21.51,14.18,11.08
1998,11.1,13.41,17.03,15.68,20.22,26.2,30.06,30.66,25.1,19.53,14.21,10.66
1999,10.84,11.62,14.76,17.97,21.92,26.35,30.36,29.64,25.4,19.28,13,10.76
2000,9.39,14.69,16.3,15.35,21.72,27.38,29.04,29.75,26.34,19.17,13.26,12.08
2001,10.99,12.65,16.07,17.75,21.27,27.83,29.1,30,24.88,21.13,12.74,9.13
2002,11.3,13.73,15.44,17.46,20.15,26.53,29.09,27.98,24.49,19.92,14.42,12.2
2003,10.26,10.39,15.97,17.43,22.52,28.79,30.72,31.68,26.37,18.34,14.47,10.88
2004,11.77,11.77,13.5,16.61,19.84,28.31,30.18,29.7,26.76,20.56,13.51,10.51
2005,10.44,9.85,14.58,17.58,22.58,28.54,30.52,29.92,25.8,20.36,12.98,9.96
2006,9.27,10.85,15.04,18.35,23.12,27.15,31.87,29.36,26.57,21.32,15.77,10.96
2007,11.05,13.27,14.84,17.56,21.6,25.39,29.45,28.95,25.64,20,14.31,10.73
2008,12.11,13.44,15.1,18.17,20.07,26.17,29.72,29.94,24.86,19.3,12.76,9.45
2009,9.49,11.66,15.95,16.58,22.69,27.39,30.57,31.09,26.33,21.81,15.7,10.94
2010,9.11,10.76,13.4,17.69,20.78,25.78,31.44,30.94,26.33,19.82,13.51,10.21
2011,10.35,12.58,14.11,19.62,23.07,26.55,29.4,30.28,27.27,22.13,14.98,11.76
2012,10.96,9.93,16.41,15.58,22.87,27.9,30.04,31.25,26.15,20.16,14.13,11.44
2013,11.01,10.91,13.92,16.92,19.44,25.3,31.26,30.44,26.74,21.62,14.04,11.14
2014,11.66,12.32,15.73,19.35,21.92,27.01,29.36,29.73,26.93,22.97,15.37,11.22
2015,10.95,10.79,15.4,18.66,23.5,28.2,32.02,30.31,25.28,20.24,16.57,13.48
2016,12.39,12.94,14.39,16.82,20.86,26.97,30.89,30.91,27.57,21.18,14.16,11.59
2017,10.45,13.56,16.63,18.68,23.58,28.82,30.75,30.78,26.04,22.4,14.74,11.33
2018,11.87,10.84,13.85,17.63,21.34,26.15,30.17,31.34,27.99,20.39,14.1,12.72
2019,11.13,13.74,16.77,17.34,21.98,26.89,31.41,30.75,26.54,21.16,13.98,12.48
2020,11.12,15.25,15.63,17.68,23.77,26.14,31.68,30.63,26.67,19.43,15.82,11.46
2021,10.31,13.71,14.79,17.03,21.61,26.55,30.27,30.31,26.74,21.21,13.59,12.54
