year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,-8.88,-12.19,-5.72,1.05,5.29,11.46,15.4,14.48,6.89,2.98,-0.95,-5.43
1992,-6.5,-5.73,-2.21,-1.9,8.7,14.16,13.75,11.97,9.79,-3.13,-6.52,-3.21
1993,-7.04,-7,-4.14,-0.05,9.09,9.72,14.93,12.21,4.4,-0.11,-5.7,-8.47
1994,-11.71,-15.7,-5.95,2.5,5.57,11.67,16.75,13.73,7.95,1.61,-4.64,-4.41
1995,-7.45,-5.67,-2.69,0.21,6.22,14.59,13.74,13.3,8.16,3.79,-6.79,-12.5
1996,-8.55,-13.92,-5.88,-0.12,5.41,11.66,13.47,15.56,6.96,3.6,-1.82,-10.05
1997,-9.8,-8.75,-4.51,-2.19,5.33,13.93,17.1,15.59,8.85,0.3,-4.5,-7.82
1998,-7.92,-12.73,-8.19,-1.22,6.44,11.91,15.36,12.01,8.49,2.65,-6.84,-8
1999,-12.92,-11.72,-4.91,2.34,5.01,15.57,15.92,12.09,9.86,3.68,-1.46,-8.93
2000,-8.18,-7.59,-4.63,1.9,7.86,12.38,15.58,13.13,7.83,5.66,-0.14,-5.44
2001,-6.19,-12.34,-8.76,1.85,6.23,13.31,17.04,13.5,9.63,3.38,-4.67,-11.66
2002,-9.99,-6.28,-4.57,2.55,8.92,14.44,17.11,15.64,7.82,-1.72,-7.95,-13.21
2003,-16.21,-8.16,-3.22,-0.28,8.01,11.26,18.75,13.8,8.77,1.39,-1.68,-6.73
2004,-11.13,-9.82,-4.57,1.66,7.31,11.48,15.87,14.06,9.53,2.31,-4.38,-5.27
2005,-6.16,-9.22,-8.94,1.58,6.86,13.04,17.05,14.6,9.49,4.25,0.54,-8.21
2006,-8.84,-12.85,-10.24,1.85,8.09,13.99,15.86,15.93,9.95,2.48,-2.93,-1.96
2007,-8.89,-15.53,-0.87,1.8,7.56,13.02,15.21,14.88,7.93,4.39,-3.61,-2.37
2008,-5.99,-5.45,-5.34,1.4,6.85,11.93,14.54,11.97,6.96,4.04,-2.17,-3.54
2009,-9.08,-10.28,-5.22,0.52,8.93,11.99,14.98,14.37,10.11,-0.05,-0.93,-9.84
2010,-15.62,-13.98,-7.12,2,9.46,11.96,18.22,14.01,8.83,2.64,-6.68,-13.83
2011,-10.89,-15.72,-4.77,3.17,7.88,14.9,17.8,13.95,10.23,4.38,0.08,-2.07
2012,-10.3,-13.25,-3.63,0.09,7.88,11.77,15.44,13.09,8.84,2.38,-1.21,-12.55
2013,-9.45,-6.83,-10.53,0.34,10.48,15.66,15.66,14.89,9.86,2.97,-1.51,-4.09
2014,-12.17,-3.43,-1.67,1.92,7.69,11.45,18.01,15.05,9.34,1.52,-2.6,-6.02
2015,-9.42,-5.32,-1.37,1.98,7.82,11.85,13.7,14.55,10.38,2.56,-0.47,-4.07
2016,-14.98,-5.19,-2.91,2.27,10.51,13.11,16.72,13.59,9.64,2.44,-4.4,-5.68
2017,-7.99,-8.16,-3.31,-0.67,5.32,11.39,14.59,13.45,8.55,2.46,-2.24,-5.81
2018,-8.48,-12.15,-8.52,1.52,11.05,12.49,18.91,15.15,10,2.71,-0.27,-5.86
2019,-11.8,-7.38,-4.35,2.94,7.49,14.12,14.43,13.53,8.6,0.97,-3.86,-3.76
2020,-5.06,-5.29,-2.8,0.54,6.45,15.62,15.24,13.94,9.89,4.57,0.44,-4.45
2021,-10.41,-12.5,-4.38,1.67,7.29,16.55,18.07,13.3,7.21,3.99,-3.26,-10.96
