year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,3.62,1.82,8.95,8.56,11.42,14.87,19.73,20.77,17.89,10.66,6.68,3.3
1992,2.39,4.54,7.45,9.42,15.12,15.84,19.15,19.95,15.41,9.56,8.8,4.92
1993,5.53,3.14,6.71,10.32,13.92,17.2,17.66,18.6,14.51,10.28,4.54,6.13
1994,5.03,4.94,9.33,8.51,13.55,17.04,21.42,19.92,14.86,11.94,10.19,6.34
1995,4.29,7.34,6.23,9.7,13.47,15.99,21.17,20.05,14.28,14.64,7.29,3.89
1996,4.98,2.84,5.9,10.06,12.16,17.55,18.62,18.2,14.05,11.85,6.82,3.37
1997,2.04,6.89,9.28,9.99,14.13,16.18,18.46,21.21,17.16,12.47,8.29,5.41
1998,4.93,5.9,8.05,8.95,14.93,17.12,18.69,19.63,15.95,11.68,4.92,4.35
1999,5.23,4.03,8,10.09,15.29,16.42,20.2,19.51,18.01,12.26,5.97,4.82
2000,3.52,6.54,7.6,9.95,15.06,17.82,17.41,19.78,16.9,12.21,8.13,6.99
2001,5.17,5.38,8.71,8.7,14.86,16.75,19.27,19.97,14.13,14.88,6,2.38
2002,4.47,7.22,8.52,10.37,12.99,17.99,18.44,18.43,15.43,12.28,9.03,6.49
2003,2.8,3.03,8.98,10.87,14.42,19.35,20.81,20.97,16.61,10.28,8.55,4.91
2004,4.4,4.69,6.34,9.9,13.01,17.88,18.82,19.55,17.13,13.27,6.96,3.94
2005,4.11,2.27,6.96,10.26,14.12,19.12,19.84,18.49,16.92,14.27,6.36,2.62
2006,2.49,2.99,6.32,10.22,14.06,18.55,22.67,17.4,18.43,14.84,9.45,4.97
2007,6.47,7.21,7.54,12.55,14.53,17.44,18.11,18,15.18,11.61,6.4,3.97
2008,5.96,6.34,6.76,9.36,14.74,17.16,19.06,18.9,14.91,11.47,7.27,3.44
2009,1.82,3.86,6.99,10.9,14.98,17.5,19.39,20.56,16.88,12.63,9.69,4.51
2010,1.19,3.54,6.47,10.93,12.32,17.39,20.86,18.62,15.45,11.45,7.05,1.68
2011,3.9,5.51,8.12,13.11,15.64,17.07,17.55,19.3,17.86,13,9.49,6.64
2012,5.2,0.89,9.43,9.16,14.54,17.31,18.52,20.52,16.12,12.66,7.93,5.53
2013,3.57,2.47,5.48,9.63,11.27,16.16,21.38,19.59,16.66,14.03,6.97,5.13
2014,6.37,6.55,8.66,11.83,13.26,18.29,19.19,17.69,17.67,14.58,9.9,5.27
2015,4.44,3.65,7.78,11.26,14.11,18.52,21.34,20.09,15.13,11.46,9.73,7.75
2016,5.68,5.97,6.58,9.56,13.45,17.04,19.89,20.13,18.38,11.5,7.64,4.67
2017,1.97,6.67,9.55,10.25,15.1,19.6,19.97,19.85,14.93,13.45,7.03,4.58
2018,7.08,2.24,6.41,12.37,14.99,18.77,21.82,21.09,17.83,13.25,8.36,6.55
2019,3.48,6.7,8.79,10.44,12.43,18.79,21.59,20.46,17.22,13.7,7.49,6.87
2020,5.98,7.93,7.98,12.56,15.32,17.12,20.4,21.08,17.63,11.66,9.09,5.66
2021,3.69,6.85,7.57,9.12,12.14,18.92,19.1,18.6,17.82,12.27,6.72,5.77
