year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,6.4,5.75,12.78,13.56,16.24,19.47,25.29,26.83,22.95,14.49,9.88,6.46
1992,5.37,8.64,11.51,14.15,20.67,20.55,24.34,25.11,20.23,12.84,12.11,7.62
1993,8.85,6.52,11.57,14.83,18.64,22.2,22.74,24.33,18.79,13.35,7.74,9.1
1994,7.91,8.37,13.61,12.68,18.25,22.34,27.05,25.05,18.86,16.04,13.03,9.19
1995,7.62,10.8,10.67,14.04,18.68,21.15,26.79,25.53,18.67,18.97,10.96,6.56
1996,7.65,5.9,10.28,15.19,16.66,23.12,24.17,23.43,19.16,16,9.88,5.91
1997,4.74,11.01,14.28,15.68,19.15,20.64,23.62,26.52,23.1,16.87,11.58,8.29
1998,7.98,10.29,12.44,12.86,20.12,22.28,23.76,25.74,20.25,15.15,8.43,7.38
1999,8.45,7.19,12.2,14.47,19.94,21.54,25.67,24.62,22.81,16.17,9.17,8.07
2000,6.47,10.34,12.06,14.35,19.78,23.05,22.3,25.3,21.87,15.66,11.22,9.94
2001,7.95,8.94,12.29,12.77,19.87,22.41,24.49,25.3,18.84,19,9.35,5.56
2002,7.94,10.56,12.99,15.41,17.68,23.19,23.62,23.16,20.42,16.39,12.11,9.01
2003,5.79,6.78,14.29,16.12,19.44,24.95,26.35,27.32,22.3,14.11,12.01,7.92
2004,7.29,8.5,10.67,14.48,18.16,23.54,24.28,24.48,22.21,17.1,9.99,6.69
2005,7.24,5.46,11.59,14.92,19.27,24.95,25.23,24.21,22.1,18.29,9.72,5.68
2006,5.3,6.19,10.28,15.08,18.98,24.42,28.79,22.22,23.43,18.7,13.31,8.11
2007,9.33,10.87,11.96,18.41,19.15,22.23,22.99,22.92,20.54,15.81,9.99,7.15
2008,9.28,10.66,10.58,13.87,19.88,22.25,24.75,23.98,19.9,15.81,10.17,6.22
2009,5.1,7.63,11.73,15.7,20.15,22.96,24.87,26.67,22.09,17.18,12.9,7.66
2010,3.95,6.97,10.88,16.47,17.03,22.64,26.66,23.86,20.87,15.73,9.91,4.56
2011,6.81,9.21,12.89,18.95,21.64,22.37,22.76,24.61,23.24,17.69,12.95,9.74
2012,8.05,4.89,14.85,13.51,19.66,22.11,23.83,26.37,21.54,16.38,11.05,8.65
2013,6.21,5.67,9.25,14.3,15.55,21.11,27.26,25.36,21.67,17.76,9.96,8.78
2014,9.23,10.15,14,16.84,18.2,23.83,24.31,22.53,23.13,18.94,13,8.01
2015,7.61,7.25,12.1,16.66,19.03,24.07,27.15,25.64,20.15,15.56,13.25,10.94
2016,8.66,9.49,10.79,14.27,18.31,21.68,25.5,26.13,23.77,15.88,10.96,8.1
2017,5.25,10.26,14.02,15.64,20.45,25.27,25.37,25.34,19.88,17.94,10.59,7.75
2018,9.87,5.63,10.41,17.34,20.2,23.94,27.77,26.88,23.76,17.87,11.52,9.39
2019,6.44,10.76,13.6,15.58,17.45,24.32,27.65,26.29,22.57,17.45,10.49,10.02
2020,9.19,11.82,12.49,18.11,20.93,22.18,26.37,26.79,23.16,15.46,12.87,8.44
2021,6.53,10.43,12.49,14.53,17.04,24.13,24.26,23.67,23.07,17.02,10.1,8.87
