year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,-0.12,-2.10,7.79,9.45,12.78,18.98,22.19,20.46,17.43,10.09,5.90,-2.00
1992,-0.08,2.48,6.22,11.74,16.21,20.00,21.91,24.29,16.77,10.52,6.10,-0.19
1993,-0.19,-1.28,4.38,11.20,18.62,19.71,20.26,20.99,15.98,12.51,2.11,2.51
1994,2.77,1.90,8.62,11.48,16.12,19.70,23.56,22.35,19.32,9.89,6.39,1.50
1995,-0.96,5.38,5.59,11.11,15.34,18.63,23.53,20.52,15.41,12.44,2.84,0.06
1996,-2.12,-1.96,2.21,11.58,17.42,20.22,19.54,20.53,13.30,11.74,7.95,-1.63
1997,-2.18,2.54,5.70,7.87,16.71,19.75,19.94,21.02,16.43,8.97,6.16,2.34
1998,2.22,5.10,4.61,12.42,15.68,20.58,21.37,21.45,15.90,11.93,3.31,-3.29
1999,-0.35,0.58,7.52,12.47,16.01,19.86,22.06,20.46,18.99,11.55,3.77,0.43
2000,-2.33,3.56,6.25,14.32,17.97,21.03,20.19,23.02,16.22,13.88,8.94,2.56
2001,0.97,3.21,8.23,10.87,17.81,18.17,21.74,22.63,14.99,14.00,3.56,-3.94
2002,-0.64,5.37,8.10,11.22,18.67,21.13,22.97,21.46,16.01,10.90,7.90,-0.79
2003,-2.18,-3.42,5.55,10.53,19.50,22.40,22.30,23.82,16.75,8.99,7.39,0.82
2004,-2.38,1.87,5.73,11.94,14.71,19.08,21.19,21.14,16.13,12.75,6.10,1.34
2005,-0.15,-2.31,3.94,11.73,16.65,19.29,21.37,19.77,17.52,11.78,4.51,0.66
2006,-3.37,-0.46,4.29,12.48,15.65,19.70,23.60,19.38,18.31,13.17,7.50,2.58
2007,4.55,5.25,8.57,13.25,17.12,21.87,23.24,22.36,15.02,10.85,4.16,-0.44
2008,1.37,4.28,6.94,11.93,17.03,21.11,21.50,21.97,15.97,12.74,7.22,2.97
2009,-1.57,1.57,6.17,14.82,17.43,19.26,22.73,22.57,19.09,11.52,7.43,1.89
2010,-1.68,1.38,6.51,11.94,16.19,20.13,23.10,21.47,15.50,9.05,8.74,-1.10
2011,-0.31,0.05,6.61,13.39,16.68,20.75,21.24,22.65,19.80,10.69,3.01,2.79
2012,0.62,-3.59,8.18,12.52,17.26,21.71,23.69,23.33,18.91,12.03,7.97,-0.30
2013,0.16,2.42,4.19,12.87,16.75,20.24,22.96,23.10,15.74,13.12,7.79,1.66
2014,2.78,5.06,9.84,13.14,15.92,20.21,22.19,20.60,17.58,13.00,7.98,3.09
2015,1.92,2.25,7.25,11.62,16.67,20.68,23.99,24.03,18.33,11.04,7.33,3.02
2016,-0.66,6.32,7.45,13.08,16.26,21.13,22.60,21.05,18.80,10.35,5.53,-0.33
2017,-5.05,3.32,9.64,11.05,17.13,22.14,22.67,23.58,16.52,12.06,6.19,2.54
2018,2.88,0.39,4.19,15.97,19.59,20.96,22.49,24.03,18.48,13.99,7.45,1.43
2019,-0.57,4.25,9.20,13.16,14.40,22.86,22.27,23.64,17.84,13.43,9.58,3.54
2020,-0.17,5.77,7.49,12.43,14.91,20.29,21.85,23.17,18.77,12.67,5.90,3.75
2021,1.29,3.28,5.84,9.24,14.74,22.37,24.04,21.06,17.52,10.73,6.36,1.83
