year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,4.09,3.58,7.56,7.89,10.93,11.91,15.69,15.60,13.88,9.32,6.78,6.45
1992,5.35,6.46,7.44,8.15,11.94,14.30,15.08,13.57,11.37,7.64,7.29,4.76
1993,6.14,6.60,6.76,9.10,10.28,13.29,14.15,13.53,11.91,7.73,6.23,5.51
1994,5.23,4.56,7.05,7.38,9.94,12.48,14.83,13.99,11.84,10.16,9.45,6.63
1995,5.05,6.18,5.54,8.62,10.36,13.71,16.50,17.26,12.79,12.00,7.91,4.09
1996,5.79,4.14,5.45,8.38,8.59,13.10,14.77,14.59,13.44,10.87,6.14,4.24
1997,4.17,6.32,7.91,9.44,11.06,12.84,15.23,16.19,13.34,10.73,8.34,6.43
1998,5.56,7.83,8.12,7.34,11.59,12.80,14.29,14.79,13.69,10.33,7.25,6.39
1999,5.53,6.23,7.07,9.04,11.71,12.33,15.89,15.03,13.79,10.44,7.61,5.13
2000,5.28,6.42,7.48,7.08,11.10,13.31,15.15,15.16,13.33,9.35,6.34,5.38
2001,4.01,4.80,5.51,7.55,11.64,12.85,14.81,14.67,13.02,11.97,8.27,5.11
2002,6.97,6.57,7.39,8.65,10.71,12.60,14.03,14.79,13.35,9.50,8.24,5.89
2003,5.10,5.42,7.58,9.56,10.46,13.82,15.61,15.97,13.34,9.28,7.97,5.81
2004,5.72,5.41,6.87,8.73,10.88,13.90,14.21,15.45,13.63,9.01,8.18,6.69
2005,6.61,5.09,7.72,8.32,10.10,14.08,15.28,14.96,13.64,11.29,6.85,6.09
2006,5.50,5.27,5.66,8.04,10.57,14.28,16.71,14.94,14.55,11.73,7.57,6.59
2007,6.38,5.96,6.89,10.39,11.00,13.82,14.44,14.47,13.07,11.53,8.51,6.58
2008,6.20,6.16,6.26,7.85,12.43,13.03,15.04,14.88,12.39,9.22,7.13,5.01
2009,4.59,5.30,7.18,8.96,10.75,14.10,15.02,14.70,12.82,11.30,7.37,3.68
2010,2.61,2.96,5.63,8.54,10.30,14.39,15.18,14.06,13.43,10.13,5.22,1.83
2011,3.59,6.51,6.49,10.42,11.05,11.95,13.97,13.55,13.22,11.13,9.28,5.94
2012,6.51,6.90,8.53,7.15,10.58,12.48,13.88,15.24,12.23,8.80,6.15,5.55
2013,5.12,4.72,3.86,7.04,9.66,13.11,16.86,15.26,13.24,11.58,6.47,6.71
2014,5.39,5.37,6.88,9.63,11.07,14.08,16.14,14.01,14.01,10.90,7.66,5.78
2015,4.93,4.66,6.18,8.22,9.61,12.51,13.90,13.80,12.23,10.38,8.63,7.95
2016,5.87,4.85,6.35,7.05,11.40,14.25,15.00,15.17,13.76,10.34,5.77,7.06
2017,5.90,6.15,7.87,8.68,11.96,13.89,14.79,14.37,12.37,11.13,6.93,5.68
2018,5.28,3.81,4.51,8.37,11.67,14.73,16.18,14.70,12.04,9.59,7.59,7.46
2019,5.77,7.35,7.23,9.11,10.43,12.80,15.84,15.20,13.14,9.36,6.05,6.02
2020,6.20,5.65,6.21,9.33,11.44,13.37,14.18,15.16,12.96,9.57,8.03,5.22
2021,4.04,5.73,7.20,7.28,9.36,13.39,16.42,15.09,14.44,11.31,8.13,6.70
