year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,6.97,6.84,10.77,11.40,15.14,15.74,19.05,19.69,18.19,12.40,9.66,8.82
1992,7.87,9.43,10.41,11.49,16.23,18.52,18.82,17.40,15.02,11.02,10.33,7.62
1993,9.20,9.13,9.93,12.67,14.42,16.91,17.58,17.53,15.65,11.33,9.00,8.22
1994,8.17,7.26,10.25,11.32,13.77,16.18,18.57,17.71,15.40,13.63,12.15,9.48
1995,8.13,9.11,8.88,12.76,14.26,18.30,20.41,21.97,17.14,15.21,10.95,6.72
1996,7.95,7.64,8.31,12.30,13.02,17.59,18.83,18.39,17.64,13.87,9.34,6.83
1997,6.55,9.63,11.62,13.68,15.50,16.54,19.29,19.89,16.89,13.98,11.11,9.17
1998,8.33,10.64,11.12,11.19,15.74,16.51,17.67,18.67,17.25,13.57,10.18,9.54
1999,8.46,9.08,10.51,12.84,15.27,16.30,19.95,18.71,17.39,13.72,10.65,8.11
2000,7.95,9.68,10.82,10.97,15.66,17.22,19.10,19.46,16.99,12.75,9.28,7.90
2001,6.93,8.23,8.90,11.55,16.24,16.90,18.68,18.65,16.75,15.01,11.19,8.19
2002,9.72,9.74,10.96,12.71,14.71,16.25,17.59,18.66,17.39,13.02,11.03,8.08
2003,7.87,8.33,11.63,13.81,14.32,17.84,19.18,20.32,17.23,12.77,11.02,8.69
2004,8.47,8.46,10.47,12.46,15.13,18.00,18.11,19.35,16.95,12.27,10.84,9.26
2005,9.23,7.83,10.86,12.19,14.08,17.86,18.95,18.93,17.23,14.29,10.03,8.59
2006,8.15,8.06,8.88,12.03,14.59,18.75,21.14,18.69,18.27,14.72,10.61,8.93
2007,8.80,8.93,10.59,15.27,15.15,17.58,18.04,18.19,16.93,14.79,11.40,9.27
2008,8.88,9.65,9.66,11.81,16.88,17.13,18.82,17.94,16.07,12.58,9.63,7.77
2009,7.14,8.04,10.91,12.84,14.85,18.57,18.74,18.26,16.59,14.36,10.07,6.40
2010,5.38,6.07,9.51,13.18,14.79,19.05,18.71,18.10,17.03,13.61,8.11,4.74
2011,6.39,9.54,10.35,15.05,14.55,15.87,18.00,17.31,16.41,13.99,12.14,8.42
2012,9.07,9.37,12.52,11.17,14.79,15.78,17.41,18.91,15.91,12.16,9.00,8.19
2013,7.70,7.55,6.75,11.01,13.72,17.21,21.58,19.08,16.84,14.48,9.35,9.32
2014,8.03,8.10,10.25,13.39,14.62,18.21,20.26,17.79,18.20,14.18,10.68,8.24
2015,7.77,7.62,9.92,12.91,13.37,16.85,17.67,17.72,16.10,13.87,11.47,10.73
2016,8.55,7.90,9.96,11.21,15.86,18.10,18.68,19.02,17.26,13.66,8.89,9.64
2017,8.47,8.89,11.40,12.75,16.53,17.67,18.77,18.12,15.99,14.11,9.81,8.26
2018,7.91,6.89,7.76,12.01,16.50,19.63,20.86,18.46,15.88,12.97,10.32,9.72
2019,8.27,10.58,10.67,13.39,14.87,16.77,19.81,19.03,17.06,12.55,8.81,8.54
2020,8.65,8.58,9.84,14.08,16.36,17.31,17.78,18.85,16.97,12.54,10.70,7.65
2021,6.60,8.31,10.52,12.22,13.76,17.59,20.72,18.84,18.09,14.27,11.01,9.16
