year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,17.06,18.22,21.54,26.28,27.67,30.40,31.01,31.02,29.83,28.16,23.45,16.33
1992,14.49,14.97,18.25,23.72,26.79,30.00,30.86,32.02,30.08,28.84,22.99,16.41
1993,15.54,15.71,19.82,25.10,26.73,30.99,32.06,32.90,30.53,29.55,22.90,19.99
1994,18.84,18.14,19.75,27.40,29.19,30.33,31.43,31.91,32.08,30.28,21.50,16.72
1995,17.56,18.23,21.04,24.06,28.54,31.96,32.24,32.43,31.29,27.46,21.71,18.82
1996,17.70,19.39,19.90,23.91,29.83,30.64,33.00,32.70,31.42,27.15,24.34,20.90
1997,18.71,16.34,18.30,23.38,29.17,31.09,32.64,30.88,29.89,27.78,23.73,19.31
1998,17.28,18.83,19.48,26.67,28.17,31.04,33.20,34.50,31.59,28.94,25.34,20.63
1999,18.21,19.02,21.33,24.78,29.40,30.61,32.30,32.98,30.80,27.77,24.13,20.42
2000,16.40,17.39,19.17,26.07,27.56,31.04,33.40,32.89,30.54,26.30,23.27,19.22
2001,18.44,18.70,23.83,26.03,28.14,30.90,32.79,33.20,30.75,27.62,23.04,19.09
2002,16.04,20.46,22.45,23.93,27.28,30.36,33.25,32.36,30.94,29.13,24.46,19.09
2003,19.20,17.13,18.65,24.70,30.37,30.67,31.98,33.00,30.08,28.44,24.01,19.02
2004,17.53,18.71,22.61,24.94,28.12,30.56,32.83,31.90,30.64,28.77,23.41,18.45
2005,18.20,17.96,21.68,25.45,27.39,30.23,32.35,32.74,30.56,26.87,22.38,21.14
2006,17.41,19.25,22.05,24.86,27.77,31.14,31.33,33.00,30.97,27.35,21.84,18.31
2007,17.35,18.64,20.70,23.70,29.38,31.28,32.64,32.36,30.37,28.94,23.99,19.26
2008,14.97,18.10,25.06,27.43,27.75,32.12,32.76,33.16,31.32,27.09,24.31,20.58
2009,18.59,19.65,20.50,25.84,28.05,32.14,32.67,33.05,30.33,29.95,23.30,21.04
2010,20.19,21.27,24.14,26.78,29.24,31.50,33.11,34.31,32.34,30.41,26.98,21.57
2011,18.87,19.41,21.35,24.80,27.77,30.23,33.69,32.71,31.01,27.60,20.60,19.25
2012,16.62,17.76,19.55,27.29,29.30,32.03,34.15,33.39,32.10,29.70,25.12,20.25
2013,18.43,20.63,24.04,25.38,30.07,31.12,31.96,32.73,30.55,26.89,25.75,18.27
2014,18.83,20.18,22.65,26.96,28.70,30.87,32.12,32.99,30.59,27.55,23.08,21.04
2015,17.24,18.52,22.86,24.60,29.23,30.02,32.76,33.92,32.55,29.49,24.61,18.40
2016,16.74,21.32,22.94,28.04,28.76,32.71,32.91,33.62,31.02,29.14,24.05,17.38
2017,16.73,18.12,21.80,25.70,28.96,31.60,33.63,33.58,31.59,27.66,23.60,21.66
2018,18.01,21.18,24.94,26.38,29.69,31.59,32.71,32.90,31.61,28.24,23.36,19.23
2019,16.99,18.58,20.00,23.84,30.79,32.05,32.88,32.66,31.08,29.32,25.60,20.01
2020,16.72,18.53,21.43,24.46,28.50,29.84,32.90,33.09,32.85,30.53,23.93,20.60
2021,19.57,20.27,21.63,26.74,31.01,30.55,33.34,33.90,30.84,28.39,25.64,19.84
