year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,3.32,4.22,10.11,18.55,22.08,26.81,27.45,27.31,24.98,19.82,12.36,7.49
1992,4.82,6.3,11.74,18.18,21.5,25.71,29.1,27.72,24.85,18.85,12.12,6.59
1993,3.01,6.72,10.87,17.13,22.35,24.97,25.57,25.65,25.1,19.08,12.57,5.49
1994,3.76,5.88,9.5,19.68,23.01,26.46,31.67,31.34,26.2,20.24,14.4,6.87
1995,3.33,6.39,11.06,17.9,22.26,24.91,28.31,30.43,24.31,20.76,12.13,4.61
1996,3.67,4.5,9.89,16.51,22.87,25.23,27.92,29.25,25.76,20.04,11.61,6.93
1997,3.21,6.73,12.26,18.36,22.42,27.47,28.81,29.41,24.68,19.94,13.6,6.4
1998,3.37,7.71,12.51,19.69,23.67,24.76,27.74,28.91,26.5,21.22,12.89,7.66
1999,4.55,6.32,11.69,18.43,23.14,26.82,27.27,28.11,26.01,19.6,12.64,5.84
2000,3.39,4.28,11.94,17.96,22.64,26.84,29.97,29.53,23.89,19.76,12.09,6.71
2001,1.88,5.83,11.18,19.56,23.84,26.57,29.97,29.91,25.81,20.69,12.43,4.96
2002,4.78,7.85,13.45,19.36,22.21,26.9,28.05,27.26,24.81,18.62,9.55,5.9
2003,2.35,6.7,10.89,18.08,22.38,25.84,25.69,27.43,24.87,19.4,13.65,5.97
2004,3.26,8,12,19.27,22.34,26.98,28.69,28.85,24.96,19.94,13.84,7.32
2005,2.33,3.66,9.96,18.37,22.57,27.28,28.4,28.99,25.32,19.67,13.35,1.9
2006,3.93,5.4,11.03,16.45,21.83,25.67,26.31,30.51,24.2,21.65,13.01,6.17
2007,4.95,9.01,11.56,17.31,22.91,26.15,26.63,29.68,24.68,19.7,12.04,6.53
2008,3.44,4.71,11.92,18.55,22.47,24.54,29.21,28.18,25.46,20.78,12.25,6.35
2009,3.37,8.31,11.64,18.45,23.5,26.37,27.05,27.84,24.95,20.73,11.36,4.77
2010,2.52,6.18,9.56,15.28,21.96,26.96,28.69,30.14,25.78,19.33,12.11,5.22
2011,-0.52,6.48,9.7,16.77,21.71,26.12,28.12,28.28,25.29,19.33,14.42,4.01
2012,2.51,3.75,10.06,18.22,23.26,26.49,28.87,29.84,24.36,20.02,10.62,2.3
2013,2.18,5.01,12.15,16.25,23.01,26.61,29.65,31.36,25.44,20.53,11.45,5.11
2014,4.67,5.96,12.47,18.81,24.1,25.98,28.92,27.07,25.26,20.08,13.17,3.47
2015,4.25,6.17,11.88,18.03,24.15,26.36,27.86,29.28,25.18,20.37,13.17,7.05
2016,2.74,6.07,12.22,19.27,24.37,26.84,28.93,30.97,25.27,20.08,12.16,7.13
2017,4.14,6.47,11.58,19.63,24.72,26.88,30.14,29.36,25.62,19.97,11.78,3.88
2018,1.75,4.45,13.08,19.17,22.69,27.18,30.76,30.89,24.67,18.5,12.94,5.27
2019,4.97,6.99,12.89,17.65,25.07,26.3,28.37,30.18,25.53,20.56,13.38,6.96
2020,5.97,7.89,13.35,16.97,22.62,27.84,25.91,30.23,24.47,19.59,13.45,5.21
2021,3.79,8.44,13.91,19.2,22.33,26.81,30.36,29,25.53,20.76,13.81,6.73
