year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,3.25,-0.4,8.48,8.15,9.88,12.57,18.73,18.06,15.29,9.96,5.56,3.85
1992,2.95,4.93,6.76,8.42,15.11,16.91,18.21,17.88,14.21,7.69,7.43,3.96
1993,4.55,2.1,5.79,10.7,14.13,15.56,16.06,15.37,12.84,8.82,2.25,5.1
1994,4.88,1.53,7.21,8.28,12.28,15.05,21.04,17.72,13.39,9.23,9.48,5.78
1995,3.42,6.32,5.27,8.6,12.68,14.21,19.89,19.52,13.83,12.91,6.44,-0.23
1996,-0.36,-0.04,2.93,9,10.47,15.14,16.18,17.57,12.35,10.6,5.74,0.68
1997,-0.98,5.84,7.63,7.52,12.43,15.52,17.36,20.53,14.41,9.54,6.31,4.95
1998,4.61,6.22,7.32,8.85,14.49,15.64,16.04,16.79,14.53,9.58,3.71,4.35
1999,5.11,3.01,7.29,9.55,13.98,15,19.1,17.66,17.39,10.5,6.36,4.82
2000,4.15,5.7,6.77,9.87,14.51,15.98,15.16,17.67,15.39,11.22,7.87,5.54
2001,2.97,4.3,5.24,7.75,13.97,14.6,18.45,18.8,12.92,13.98,6.79,3.02
2002,4.19,6.85,7.27,9.03,13.31,16.48,17.41,18.85,14.55,9.53,7.83,3.07
2003,2.31,1.59,7.55,9.56,13.38,17.98,18.95,19.86,14.78,7.49,8.03,4.57
2004,3.18,4.6,6.01,10.16,12.1,15.29,16.68,18.84,15.18,11.19,6.37,3.51
2005,4.82,2.03,6.12,9.9,12.53,16.42,17.75,16.21,15.89,13.2,6.74,4.06
2006,1.11,2.29,3.62,8.39,13.76,16.37,20.97,16.3,17.82,13.68,9.22,6.8
2007,6.88,5.94,8.01,11.82,13.89,16.96,16.87,17.1,13.79,9.98,6.68,4.18
2008,6.09,5.39,5.9,8.42,15.33,16.15,17.91,17.45,13.56,10.13,6.9,2.94
2009,0.74,3.03,6.2,11.79,13.67,15.24,18.04,18.9,15.24,10.26,9.4,2.72
2010,-0.81,1.44,6.04,9.31,10.35,16.16,19.97,16.84,13.54,10.23,5.86,-0.98
2011,3.3,4.14,6.39,12.32,14.12,16.03,15.91,17.14,15.76,11.28,7.44,6.33
2012,4.58,0.43,8.33,8.06,13.98,14.66,17.04,18.73,14.14,10.34,6.92,4.86
2013,1.97,1.38,2.15,7.96,11.26,14.89,19.13,18.29,14.24,12.17,6.61,6.19
2014,5.24,6.35,8.56,11.55,13.08,15.94,19.46,16.24,15.95,13.24,8.3,5.06
2015,3.87,3.29,6.41,8.89,12.21,15.38,18.42,18.9,13.36,9.9,9.73,9.41
2016,4.25,4.56,5.42,8.24,14.16,16.23,18.25,18.07,17.58,9.84,5.83,5.15
2017,1.42,4.96,8.78,8.22,14.7,17.67,18.06,17.62,13.8,12.86,7.11,5.01
2018,5.4,0.54,4.46,11.88,16,17.18,20.71,19.12,15.16,12.2,6.97,6.33
2019,3.18,6.41,8.06,10.34,11.47,18.19,18.89,19.01,14.71,11.57,6.52,6.22
2020,5.95,6.86,6.91,11.05,12.95,17.09,17.11,20.58,15.51,11.25,8.79,5.8
2021,2.96,4.1,6.65,6.54,11.02,17.98,17.98,16.93,16.03,11.48,7.14,5.45
