year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1991,-4.93,-8.43,-3.04,0.56,3.68,7.71,12.4,11.57,5.96,2.06,-1.81,-2.64
1992,-2.64,-3.08,-1.83,-1.54,6.5,11.43,10.46,9.49,7.37,-1.87,-3.85,-2.86
1993,-4.07,-4.02,-3.58,0.24,5.86,7.15,10.78,9.33,4.77,0.26,-3.77,-7.24
1994,-8.61,-10.1,-4.25,0.95,4.11,7.53,13.12,11.15,6.01,1.1,-2.18,-2.74
1995,-5.28,-4.28,-2.91,-1.25,3.75,9.15,10.67,10.67,6.84,3.4,-4.6,-8.8
1996,-6.49,-9.33,-4.42,-0.31,2.77,8.33,10.16,12.86,5.88,3.3,-4.81,-7.6
1997,-5.75,-4.92,-3.07,-2.09,3.51,10.2,13.42,13.43,7.67,0.82,-3.07,-4.7
1998,-5,-5.09,-4.86,-1.16,4.48,8.31,11.25,9.75,7.54,1.45,-5.39,-5
1999,-7.11,-6.57,-3.52,0.92,3.86,9.67,11.53,10.04,9.27,2.75,0.56,-7.33
2000,-4.01,-4.4,-3.54,0.73,6.13,8.07,10.98,10.16,7.16,5.18,0.59,-4.26
2001,-4.73,-8.71,-6.68,-0.65,4.57,8.97,11.95,10.88,7.43,3.76,-2.71,-6.74
2002,-5.91,-4.44,-3.4,1.86,7.08,11.3,12.79,13.16,7.56,-0.48,-5.54,-8.25
2003,-9.02,-5.22,-2.2,0.61,5.21,9.91,14.33,11.78,7.29,0.58,-1.21,-4.61
2004,-7.57,-5.86,-2.72,2,5.58,8.57,11.93,12.44,7.54,2.52,-3.25,-3.19
2005,-3.74,-5.79,-5.17,1.25,4.06,9.11,13,10.86,7.51,3.96,-0.4,-5.32
2006,-5.45,-6.46,-7.63,0.43,5.96,9.79,13.14,13.09,8.89,3.04,-0.67,-0.97
2007,-5.49,-8.31,-0.77,1.24,4.88,10.58,12.07,11.13,6.08,3.36,-2.7,-2.91
2008,-3.77,-3.13,-4.3,0.65,5.5,9.75,12.73,10.63,6.89,2.72,-2.44,-4.09
2009,-5.44,-8.15,-3.23,1.66,6.24,9.2,12.2,11.89,7.94,0.62,-0.44,-6.99
2010,-10.48,-10.6,-5.1,0.65,4.81,8.32,12.52,10.93,6.99,2.43,-6.71,-10.71
2011,-6.71,-8.77,-3.67,2.72,5.72,10.48,12.36,11.28,8.59,3.92,1.01,-2.74
2012,-6.21,-6.65,-0.92,-0.8,4.88,8.26,11.06,10.59,6.4,1.27,-1.05,-8.79
2013,-7.23,-6.5,-7.26,-0.68,7.35,10.3,12.08,11.59,8.04,2.83,-1.76,-2.36
2014,-7.12,-1.92,-1.24,1.46,5.41,9.67,14.21,11.84,8.18,3.78,-0.87,-4.6
2015,-5.73,-4.07,-1.1,0.84,4.36,7.81,10.55,12.39,8.41,3.33,-0.49,-2.31
2016,-9.01,-4.65,-2.02,0.58,6.73,9.81,12.34,10.53,9.09,2.6,-3.1,-2.61
2017,-4.63,-5.24,-2.82,-0.61,4.61,9.29,11.45,10.5,8.19,3.24,-2.68,-5.06
2018,-6.21,-7.93,-6.86,0.83,8.04,9.46,14.54,11.31,7.75,2.5,-0.13,-4.03
2019,-7.12,-4.5,-3.49,2.54,4.35,9.92,11.99,11.72,6.95,1.01,-4.13,-3
2020,-2.84,-3.7,-2.66,0.33,3.9,12.38,11.02,11.7,7.7,3.62,0.77,-2.31
2021,-8.36,-7.57,-2.38,-0.18,4.7,11.17,13.5,10.72,7.65,3.71,-2.29,-6.61
